№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
89,"Общество с ограниченной ответственностью ""Лоджикс""",7713162575/ 1027739156851,"105187, г. Москва, ул.Фортунатовская, д. 12, стр. 1","105187, г. Москва, ул. Фортунатовская, д. 12",Магазин,ПРВСВ 584,09.02.2005,09.02.2005,09.02.2013,Действует
90,"Общество с ограниченной ответственностью ""ПАРТНЕР""",7714021104/ 1027700394171,"125015, г. Москва, ул. Нижняя Масловка, д.5, стр.5","г. Москва, ул. Нижняя Масловка, д.5, корп.5",Кафе,ПРСЗС 517,10.02.2005,10.02.2005,10.02.2013,Действует
9,,,,,,,,,,
91,"Общество с ограниченной ответственностью ""КОПЕЙКА-МОСКВА""",7715196234/ 1027739014930,"127560, г. Москва, ул. Коненкова, д. 5","г. Москва, ул.Гвардейская, д.16",Магазин,ПРИУ 43243,11.02.2005,11.02.2005,11.02.2013,Действует
92,"Общество с ограниченной ответственностью ""АЛГОЛЬ-1""",7728016104/ 1027700376021,"117335, г. Москва, ул.Профсоюзная, д.32, корп.1","117335, г. Москва, ул.Профсоюзная, д.32, корп.1",Магазин,ПРЗЮЗ 607,13.02.2005,11.02.2005,13.02.2013,Действует
93,"Общество с ограниченной ответственностью ""ЧАЙХАНА ""КИШМИШ""",7704206265/ 1027700304532,"121019, г. Москва, ул.Новый Арбат, д.28","123242, г. Москва, ул. 1905 г., д.4, стр.2",Кафе,ПРИУ 43259,15.02.2005,15.02.2005,15.02.2014,Действует
94,"Общество с ограниченной ответственностью ""Метелица""",7731013375/ 1037739028030,"121357, г. Москва, Аминьевское шоссе, д.14, корп.1","121357, г. Москва, ш.Аминьевское, д.14, корп.1",Магазин,ПРЗЮЗ 603,16.02.2005,02.02.2005,16.02.2016,Действует
95,"Общество с ограниченной ответственностью ""Фастлэнд""",7703234453/ 1027739292448,"125009, г. Москва, Тверской б-р, д. 26 А","г. Москва, ул.Арбат, д.45/24, стр.1",Кафе,ПРИУ 43261,16.02.2005,22.02.2005,16.02.2013,Действует
96,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Цандера, д.7, корп.2А",Магазин,ПРИУ 43275,17.02.2005,17.02.2005,17.02.2013,Действует
97,"Общество с ограниченной ответственностью ""СТРОЙЭКОНОМБАЗИС""",7703272297/ 1037700133570,"123376, г. Москва, ул.Николаева, д.6","103009, г. Москва, ул.Б.Дмитровка, д.9, стр.1",Кафе,ПРИУ 43203,21.02.2005,01.02.2005,21.02.2013,Действует
98,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Пришвина, д.3",Магазин,ПРИУ 43285,22.02.2005,22.02.2005,22.02.2013,Действует
99,"Общество с ограниченной ответственностью ""Кофе Хаус.Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"127599, г. Москва, ул.Ижорская, д.8, стр.1","г. Москва, Гоголевский бульвар, д.3/1/2",Кафе,ПРИУ 43287,22.02.2005,22.02.2005,22.02.2013,Действует
100,"Общество с ограниченной ответственностью ""Кофе Хаус.Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"127599, г. Москва, ул.Ижорская, д.8, стр.1","103006, г. Москва, ул. Малая Дмитровка, д.3/10, стр.1",Кафе,ПРИУ 43288,24.02.2005,24.02.2005,24.02.2013,Действует
10,,,,,,,,,,
101,"Закрытое акционерное общество ""Т и К ПРОДУКТЫ""",7731162754/ 1027739277720,"121357, г. Москва, Можайское шоссе, д. 3/1, стр. 1","109387, г. Москва, ул. Краснодонская, д. 12",Магазин,ПРЮВЮ 728,25.02.2005,25.02.2005,25.02.2013,Действует
102,"Общество с ограниченной ответственностью ""Авоська-два""",7724232030/ 1027739670870,"115211, г. Москва, ул. Борисовские пруды, д. 14, корп. 4","г. Москва, Волжский бульвар, д. 44","Универсам ""Авоська""",ПРЮВЮ 737,01.03.2005,01.03.2005,01.03.2016,Действует
103,"Общество с ограниченной ответственностью ""ТАЛРИД""",7707115030/ 1037739022133,"103051, г. Москва, М.Каретный пер., д.13","129110, г. Москва, Суворовская пл., д.2, стр.2",Ресторан,ПРИУ 43282,01.03.2005,18.02.2005,01.03.2014,Действует
104,"Общество с ограниченной ответственностью ""Фирма БиМ""",7731207349/ 1027700496449,"121374, г. Москва, ул.Багрицкого, д.8, стр.1","г. Москва, ул. Багрицкого, д. 8. стр. 1",Магазин,ПРЗЮЗ 637,01.03.2005,25.02.2005,01.03.2013,Действует
105,"Общество с ограниченной ответственностью ""Арома Маркет""",7710161911/ 1027739146412,"121087, г. Москва, Береговой проезд, д.5, стр.1","г. Москва, ул.Люсиновская, д.41, стр.1",Магазин,ПРИУ 43326,04.03.2005,04.03.2005,04.03.2013,Действует
107,"Общество с ограниченной ответственностью ""АК Профиль""",7701271234/ 1027739626034,"107082, г. Москва, Спартаковская пл., д.14, стр.1","114115, г. Москва, ул. Кожевническая, д.1, стр.1",Кафе,ПРИУ 43321,05.03.2005,05.03.2005,05.03.2013,Действует
108,"Общество с ограниченной ответственностью ""Торговая фирма ""КРИСТАЛЛ""",7721131860/ 1027700159167,"109378, г. Москва, Есенинский бульвар, д. 1/26, корп. 1","109378, г. Москва, Есенинский бульвар, д. 1/26, корп. 1",Магазин,ПРЮВЮ 729,06.03.2005,04.03.2005,06.03.2013,Действует
109,"Общество с ограниченной ответственностью ""РИК-5""",7729358622/ 1027739376675,"121471, г. Москва, Можайское шоссе, д. 25","г. Москва, Можайское шоссе, д.25",Магазин,ПРЗЮЗ 645,09.03.2005,09.03.2005,09.03.2013,Действует
110,"Общество с ограниченной ответственностью ""ДОРОГОМИЛОВО""",7730014337/ 1027700484910,"121059, г. Москва, ул. Б. Дорогомиловская, д. 8","г. Москва, ул. Б. Дорогомиловская, д. 8",Магазин,ПРЗЮЗ 649,11.03.2005,03.03.2005,11.03.2013,Действует
11,,,,,,,,,,
111,"Закрытое акционерное общество ""Вегат Плюс""",7721005216/ 1027739540872,"109472, г. Москва, Волгоградский проспект, д. 183/36","г. Москва, мкр-н Северное Чертаново, д. 4, корп. 408 А",Магазин,ПРЮВЮ 753,13.03.2005,05.03.2005,13.03.2013,Действует
112,"Общество с ограниченной ответственностью ""Уч-Кудук""",7727201496/ 1037739471076,"117447, г. Москва, Большая Черемушкинская ул., д. 13/17, стр. 1","117447, г. Москва, Большая Черемушкинская ул., д. 13/17, стр. 1",Кафе,ПРЗЮЗ 671,14.03.2005,14.03.2005,14.03.2013,Действует
113,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Беловежская, д.1, корп.2",Магазин,ПРИУ 43397,17.03.2005,18.03.2005,17.03.2013,Действует
114,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Нагорная, д.21, корп.1",Магазин,ПРИУ 43377,17.03.2005,18.03.2005,17.03.2013,Действует
115,"Общество с ограниченной ответственностью ""Фирма БиМ""",7731207349/ 1027700496449,"121374, г. Москва, ул.Багрицкого, д.8, стр.1","121374, г. Москва, Малая Филевская ул., д. 30",Магазин,ПРЗЮЗ 689,17.03.2005,18.03.2005,17.03.2015,Действует
116,"Общество с ограниченной ответственностью ""ЮНИЛОКС""",7722143917/ 1027739065749,"109316, г. Москва, ул. Талалихина, д. 41, стр. 9","107143, г. Москва, Открытое шоссе, д. 23. корп. 6",Магазин,ПРВСВ 681,17.03.2005,18.03.2005,17.03.2013,Действует
117,"Закрытое акционерное общество ""Т и К ПРОДУКТЫ""",7731162754/ 1027739277720,"121357, г. Москва, Можайское шоссе, д. 3/1, стр. 1","г. Москва, Петровско-Разумовский пр-д, д.18",Магазин,ПРСЗС 572,18.03.2005,18.03.2005,18.03.2013,Действует
118,"Общество с ограниченной ответственностью ""КОПЕЙКА-МОСКВА""",7715196234/ 1027739014930,"127560, г. Москва, ул. Коненкова, д. 5","г. Москва, ул.Бауманская, д.62-66, стр.1",Магазин,ПРИУ 43392,18.03.2005,18.03.2005,18.03.2013,Действует
119,"Общество с ограниченной ответственностью ""МАГАЗИН № 66""",7712030400/ 1037739252760,"141411, г. Москва, ул. 3-я Подрезковская, д.14","г. Москва, ул.3-я Подрезковская, д.14",Магазин,ПРСЗС 574,18.03.2005,18.03.2005,18.03.2013,Действует
120,"Общество с ограниченной ответственностью ""КАМЕЛОТ-98""",7726193901/ 1027700482391,"117639, г. Москва, Балаклавский проспект, д. 2, корп. 5","117639, г. Москва, Балаклавский проспект, д. 2, корп. 5","Ресторан ""Камелот""",ПРЮВЮ 769,19.03.2005,16.03.2005,19.03.2013,Действует
12,,,,,,,,,,
121,"Общество с ограниченной ответственностью ""Трейд-Бизнес""",7706298568/ 1037706021429,"115035, г. Москва, ул. Б. Ордынка, д. 12","г. Москва, ул. Мастеркова, д. 3",Кафе,ПРЮВЮ 793,21.03.2005,21.03.2005,21.03.2014,Действует
122,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Новопетровская, д.3",Магазин,ПРИУ 43387,22.03.2005,22.03.2005,22.03.2013,Действует
123,"Общество с ограниченной ответственностью ""Вэйк""",7720510907/ 1047796526557,"111123, г. Москва, ш.Энтузиастов, д.60, корп.1","г. Москва, ул.Никольская, д.11-13, стр.3",Кафе,ПРИУ 43430,29.03.2005,29.03.2005,29.03.2014,Действует
124,"Общество с ограниченной ответственностью ""МЕЧТА-Т""",7709084324/ 1027739531731,"101000, г. Москва, ул.Маросейка, д.2/15, стр.1","г. Москва, ул.Маросейка, д.2/15, стр.1",Магазин,ПРИУ 43444,30.03.2005,30.03.2005,30.03.2013,Действует
