"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
43,"ООО АГАТ, ИНН - 4211018773, ОГРН - 1064211005924","652700, г. Киселевск, ул. Маяковского, дом.5","г. Киселевск, ул. Маяковского д.5 (магазин); г. Киселевск, ул. 50 лет Города д.34 (магазин); г. Киселевск, ул. Бульварная д.1А (павильон)","лицензия № ОЛ-5742-РПА, Д № 489248, 27.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2014,
44,"ООО АГАТ, ИНН - 4214023475, ОГРН - 1054214019331","652840, г. Мыски, ул. Советская, дом.48","г. Мыски, ул. Советская д.48 (кафе); г. Мыски, ул. Кусургашева д.11 (кафе); г. Мыски, ул. Дорожная д.20 (кафе); г. Мыски, ул. Лесхозная д.2А (магазин); г. Мыски, ул. Вишневая д.20А (магазин); г. Мыски, ул. Безымянная д.20А (магазин); г. Мыски, ул. Карчитская д.32А (магазин); г. Мыски, ул. Гвардейская д.37А (магазин)","лицензия № ОЛ-5704-РПА, Д № 489264, 29.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2017,
45,"ООО АЗЕР, ИНН - 4223041375, ОГРН - 1064223007760","653212, Прокопьевский р-н, п. Калачево, ул. Нагорная, дом.1","Прокопьевский р-н, п. Калачево, ул. Нагорная д.1 (кафе)","лицензия № ОЛ-11606-РПА, 42  МЕ № 002987, 26.01.2012",c 26.01.2012 по 25.01.2013,
46,"ООО АЗИЯ, ИНН - 4217082278, ОГРН - 1064217048818","654000, г. Новокузнецк, пр-кт. Октябрьский, дом.47","г. Новокузнецк, ул. Ярославская д.12 (магазин); г. Новокузнецк, ул. ДОЗ д.17 (магазин); г. Новокузнецк, пр-кт. Октябрьский д.47 (магазин)","лицензия № ОЛ-5612-РПА, Д № 489104, 02.06.2006",c 02.06.2006 по 02.06.2011 продлена с 03.06.2011 по 02.06.2013,
47,"ООО АИСТ, ИНН - 4205100941, ОГРН - 1064205054242","650066, г. Кемерово, пр-кт. Октябрьский, дом.20А","г. Кемерово, пр-кт. Октябрьский д.20А (магазин)","лицензия № ОЛ-5825-РПА, Д № 489278, 30.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
48,"ООО АИСТ, ИНН - 4228009544, ОГРН - 1054228012277","652993, г. Таштагол, ул. Урицкого, дом.41","г. Таштагол, ул. Урицкого д.41 (магазин)","лицензия № ОЛ-12063-РПА, 42 МЕ № 003229, 19.06.2012",c 19.06.2012 по 18.06.2013,
49,"ООО АКВАМАРКЕТ, ИНН - 4205057414, ОГРН - 1034205069942","650051, г. Кемерово, ул. Камышинская, дом.2А","г. Белово, 3 Микрорайон д.16 (магазин); г. Белово, ул. Чкалова д.18 А (магазин); г. Белово, ул. Советская д.65 помещение 57 (магазин); г. Кемерово, рп. Кедровка, ул. Новогодняя д.14 (магазин); г. Кемерово, ул. Волошиной д.14 (магазин); г. Кемерово, ул. Радищева д.4 (магазин); г. Кемерово, пр-кт. Октябрьский д.40Б (магазин); г. Кемерово, ул. Октябрьская д.80 (магазин); г. Кемерово, пр-кт. Шахтеров д.87 (магазин); г. Кемерово, ул. 40 лет Октября д.10 пом.115 (магазин); г. Кемерово, ул. Патриотов д.33 пом.127 (магазин); г. Кемерово, пр-кт. Химиков д.19 пом.129 (магазин); г. Кемерово, пр-кт. Ленина д.76 пом.129 (магазин); г. Кемерово, пр-кт. Ленинградский д.45Б пом.131 (магазин); г. Кемерово, ул. Невьянская д.1А пом.25 (магазин); г. Кемерово, пр-кт. Советский д.44 пом.48 (магазин); г. Кемерово, ул. Инициативная д.44 пом.58 (магазин); г. Кемерово, ул. Красноармейская д.138 пом.65 (магазин); г. Кемерово, ул. 40 лет Октября д.21 пом.65 (магазин); г. Кемерово, пр-кт. Шахтеров д.43 пом.65 (мага","лицензия № ОЛ-2648-РПА, В № 935930, 10.03.2006",c 04.02.2004 по 04.02.2007 продлена с 06.02.2012 по 05.02.2017,
,,,"зин); г. Кемерово, б-р. Строителей д.12 пом.97 (магазин); г. Кемерово, ул. Халтурина д.35А пом.97 (магазин); г. Ленинск-Кузнецкий, пр-кт. Кирова д.114 (магазин); г. Мыски, ул. Первомайская д.33 А (магазин); г. Мыски, ул. Советская д.17 (магазин); г. Мыски, ул. Кутузова д.15 пом.2 (магазин); г. Новокузнецк, ул. Разведчиков д.42 (магазин); г. Новокузнецк, ул. Ярославская д.12 пом.137 (магазин); г. Новокузнецк, ул. Пушкина д.16 пом.30 (магазин); г. Новокузнецк, ул. Веры Соломиной д.6 пом.57 (магазин); г. Новокузнецк, ул. Обнорского д.50 пом.65 (магазин); г. Новокузнецк, ул. Климасенко д.7/1 пом.65 (магазин); г. Топки, ул. Революции д.30 пом.37 (магазин); г. Топки, ул. Луначарского д.1 пом.57 (магазин)",,,
50,"ООО АКРОПОЛЬ-Н, ИНН - 4217086265, ОГРН - 1064217064735","654000, г. Новокузнецк, ул. Орджоникидзе, дом.13","г. Новокузнецк, ул. Орджоникидзе д.13 (кафе)","лицензия № ОЛ-11435-РПА, 42 МЕ № 002889, 15.12.2011",c 15.12.2011 по 14.12.2012,
51,"ООО АКЦЕПТ-ТРЕЙД, ИНН - 4250002209, ОГРН - 1054250012860","650510, Кемеровский р-н, п. Новостройка, ул. Центральная, дом.15А","Кемеровский р-н, п. Новостройка, ул. Центральная д.15А (магазин)","лицензия № ОЛ-5282-РПА, В № 935865, 06.02.2006",c 06.02.2006 по 06.02.2011 продлена с 07.02.2012 по 06.02.2013,
52,"ООО АЛАТАУ, ИНН - 4228008220, ОГРН - 1034228001389","652991, г. Таштагол, ул. Советская, дом.2А","Таштагольский р-н, пгт. Шерегеш, гора Зеленая (ресторан)","лицензия № ОЛ-11259-РПА, 42М № 002771, 03.11.2011",c 03.11.2011 по 02.11.2012,
53,"ООО АЛВЕР, ИНН - 4214025024, ОГРН - 1064214009860","652870, г. Междуреченск, ул. Интернациональная, дом.21","г. Междуреченск, ул. Абаканская д.11 (магазин); г. Междуреченск, ул. Интернациональная д.21 (магазин)","лицензия № ОЛ-5908-РПА, Д № 489379, 07.07.2006",c 07.07.2006 по 07.07.2011 продлена с 08.07.2011 по 07.07.2014,
54,"ООО АЛЕКС, ИНН - 4217078232, ОГРН - 1054217113400","654000, г. Новокузнецк, проезд. Буркацкого, дом.28","г. Новокузнецк, проезд. Буркацкого д.28 (магазин)","лицензия № ОЛ-6307-РПА, Д № 489682, 29.09.2006",c 29.09.2006 по 29.09.2011 продлена с 30.09.2011 по 29.09.2016,
55,"ООО АЛЕКСАНДР, ИНН - 4205125583, ОГРН - 1074205005621","650002, г. Кемерово, пр-кт. Шахтеров, дом.31 кв.27","Яшкинский р-н, с. Колмогорово, ул. Мирная д.49 (магазин); г. Кемерово, ул. Инициативная д.79А (магазин)","лицензия № ОЛ-12065-РПА, 42МЕ № 003227, 19.06.2012",c 19.06.2012 по 18.06.2015,
56,"ООО АЛЕКСАНДРА, ИНН - 4222011385, ОГРН - 1074222000819","652741, г. Калтан, ул. Красенка, дом.10А","г. Калтан, ул. Красенка д.10А (магазин)","лицензия № ОЛ-7803-РПА, Д № 488460, 03.09.2008",c 03.09.2008 по 02.09.2009 продлена с 03.09.2011 по 02.09.2012,
57,"ООО АЛЕР, ИНН - 4218013742, ОГРН - 1024201676069","654038, г. Новокузнецк, пр-кт. Советской Армии, дом.12/40","г. Новокузнецк, пр-кт. Советской Армии д.12/40 (бар); г. Новокузнецк, пр-кт. Советской Армии д.12/40 (магазин)","лицензия № ОЛ-1152-РПА, Д № 092725, 14.11.2002",c  по  продлена с 16.11.2010 по 15.11.2012,
58,"ООО АЛКОМИР, ИНН - 4205178560, ОГРН - 1094205009359","650066, г. Кемерово, пр-кт. Октябрьский, дом.53/2","г. Белово, ул. Ленина д.36Г (магазин); г. Березовский, б-р. Молодежный д.2 (магазин); г. Кемерово, пр-кт. Шахтеров д.111 (магазин); г. Кемерово, ул. Весенняя д.5 (магазин); г. Кемерово, пр-кт. Шахтеров между жилыми домами № 115 и 117 (магазин); г. Новокузнецк, ул. 40 лет ВЛКСМ д.33 (магазин); г. Новокузнецк, пр-кт. Авиаторов д.57А (магазин); г. Новокузнецк, пр-кт. Запсибовцев д.6 (магазин)","лицензия № ОЛ-8864-РПА, 42 МЕ № 001266, 19.08.2009",c 19.08.2009 по 18.08.2012,
59,"ООО АЛПА-С, ИНН - 4212012326, ОГРН - 1064212014790","652560, г. Полысаево, ул. Космонавтов, дом.92 кв.132","г. Ленинск-Кузнецкий, ул. Телефонная д.13 (магазин); г. Ленинск-Кузнецкий, ул. Орджоникидзе д.9 (павильон № 2); г. Ленинск-Кузнецкий, ул. Топкинская д.11 (павильон № 4); г. Ленинск-Кузнецкий, ул. Пушкина д.90 (павильон), место № 237","лицензия № ОЛ-6046-РПА, Д № 488467, 08.09.2008",c 26.07.2006 по 26.07.2011 продлена с 27.07.2011 по 26.07.2014,
