РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
77,457-09алк/ЮС,12/17/2009,"ООО ""АВТОЛЮКС""","г. Южно-Сахалинск, ул.Ленина,14",МЕ005229,12/17/2012,действующая,алк> 15%,"кафе ""Автолюкс"" г. Южно-Сахалинск ул.Ленина,14"
78,459-09алк/ЮС,12/17/2009,"ООО ""Алевтина""","г. Южно-Сахалинск, пл. р/н Новоалександровск, ул. Советская, 116",МЕ005230,12/17/2012,действующая,алк> 15%,"магазин ""Алевтина"" г. Южно-Сахалинск ул.Советская,116"
79,450-09алк/ЮС,12/17/2009,"ООО ""МАМОНТОФФ и К""","г. Южно-Сахалинск, ул.Поповича,47",МЕ005236,12/17/2012,действующая,алк> 15%,"магазин ""Фиеста"" г. Южно-Сахалинск ул.Поповича, 47"
80,456-09алк/Нев,12/17/2009,"ООО ""Орион""","Невельский р-н, г. Невельск, ул.Школьная,79а",МЕ005237,12/17/2012,действующая,алк> 15%,"магазин ""Орион"" г. Невельск ул.Школьная,79а"
81,451-09алк/АС,12/17/2009,"ООО ""ГРАН-ПРИЗ""","Александровский р-н, г. Александровск-Сахалинский, ул.Смирных,7",МЕ005232,12/17/2012,действующая,алк> 15%,"магазин     г. Александровск-Сахалинский ул.Смирных,7"
82,452-09алк/АС,12/17/2009,"ООО Семь звёзд""","Александровский р-н, г. Александровск-Сахалинский, ул.Дзержинского, 15а",МЕ005241,12/17/2012,действующая,алк> 15%,"магазин ""Семь звёзд"" г. Александровск-Сахалинский ул.Дзержинского, 15а"
83,458-09алк/ЮС,9/7/2012,"ООО ""Конус""  ","г. Южно-Сахалинск, ул. Железнодорожная, 37  ",МЕ007180,12/17/2012,действующая переоформленная,алк> 15%,"кафе ""Панорама"" г. Южно-Сахалинск пр. Мира, 231; бар ""Кентос"" г. Южно-Сахалинск пр. Мира, 231; ресторан ""Артист"" г. Южно-Сахалинск ул. Емельянова, 14 (3 этаж); бар ""Джой"" г. Южно-Сахалинск ул. Емельянова, 14 (3 этаж)"
84,449-09алк/ЮС,9/7/2012,"ООО ""Али Баба""","г. Южно-Сахалинск, ул. Больничная, 38/Б",МЕ007182,12/17/2012,действующая переоформленная,алк> 15%,"магазин ""Аралия"" г. Южно-Сахалинск ул. Больничная, 38/В; магазин ""Надежда"" г. Южно-Сахалинск пр. Мира, 153; магазин ""Лада"" г. Южно-Сахалинск ул. Комсомольская, 215; магазин ""Чинар"" г. Южно-Сахалинск ул. Пуркаева, 102/В; магазин ""Вилмаг и К"" г. Корсаков ул. Нагорная, 68 / В; магазин ""Народный"" г. Южно-Сахалинск пл. р-он Луговое, ул. Гайдука, 52; магазин ""Золотая поляна"" г. Южно-Сахалинск ул. Лермонтова, 58"
85,147-11алк/ЮС,12/22/2011,"ООО ""Классик""","г. Южно-Сахалинск, ул. Сахалинская, 138, корп. А, оф.7",МЕ006750,12/21/2012,действующая,алк> 15%,"кафе ""Классик"" г. Южно-Сахалинск ул. Сахалинская, 138/А"
86,155-11алк/ЮС,12/22/2011,"ООО ""Медея""","г. Южно-Сахалинск, ул. М.Горького, 13/В",МЕ006758,12/21/2012,действующая,алк> 15%,"магазин ""Кристалл"" г. Долинск ул. Пионерская, 6/Б"
