РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
87,152-11алк/ЮС,12/22/2011,"ООО ""Прайм""","г. Южно-Сахалинск, ул. Ленина, 232 ",МЕ006755,12/21/2012,действующая,алк> 15%,"бар ""Черри Джем"" г. Южно-Сахалинск ул. Ленина, 232"
88,160-11алк/Нев,12/22/2011,"ООО ""Филиппок""","Невельский р-н, г. Невельск, ул.  Железнодорожная, 46",МЕ006764,12/21/2012,действующая,алк> 15%,"магазин ""Филиппок"" г. Невельск ул. Железнодорожная, 46; магазин ""Эдо"" г. Невельск ул. Победы, 5"
89,153-11алк/СК,12/22/2011,"ООО ""Антарес""","Северо-Курильский р-н, г. Северо-Курильск, ул. Сахалинская, 44/А, кв. 4",МЕ006763,12/21/2012,действующая,алк> 15%,"магазин ""Атлас"" г. Северо-Курильск ул. Сахалинская, 67-71"
90,159-11алк/Дол,12/22/2011,"ООО ""Мария""","Долинский р-н, с.Углезаводск, ул.Трудовая, 7",МЕ006762,12/21/2012,действующая,алк> 15%,"магазин ""Мария"" с.Углезаводск ул. Трудовая, 7"
91,146-11алк/Кор,12/22/2011,"ООО ""Ангелина""","Корсаковский р-н, с.Озёрское, ул. Центральная, 105, оф. 2",МЕ006749,12/21/2012,действующая,алк> 15%,"магазин ""Ангелина"" с.Озёрское ул. Центральная, 86/А"
92,158-11алк/Кор,12/22/2011,"ООО ""Море""","Корсаковский р-н, г. Корсаков, ул. Советская, 39",МЕ006761,12/21/2012,действующая,алк> 15%,"магазин ""Море-1"" г. Корсаков ул. Советская, 39"
93,149-11алк/Тым,12/22/2011,"ООО ""Карат""","Тымовский р-н, п.г.т. Тымовское, ул. Библиотечная, 2/Б",МЕ006752,12/21/2012,действующая,алк> 15%,"магазин ""Ирина"" п.г.т. Тымовское ул. Библиотечная, 2/Б"
94,144-11алк/Кор,6/15/2012,"ООО ""Южный""","Корсаковский р-н, г. Корсаков, ул. Толстого, 95/3",МЕ007003,12/21/2012,действующая переоформленная,алк> 15%,"магазин ""Флотский"" г. Корсаков ул. Флотская, 62/Б; магазин ""Южный"" г. Корсаков ул. Толстого, 93/1"
95,145-11алк/Нев,9/17/2012,"ООО ""Питер""","Невельский р-н, г. Невельск, ул. Северная, 20/А",МЕ007195,12/21/2012,действующая переоформленная,алк> 15%,"магазин ""Питер"" г. Невельск ул. Северная, 20/А"
96,154-11алк/См,9/7/2012,"ООО ""Вилена""","Смирныховский р-н, п.г.т. Смирных, ул. 8 Марта, 37/А",МЕ007179,12/21/2012,действующая переоформленная,алк> 15%,"магазин ""Каприз"" п.г.т. Смирных ул. Пирогова, 4; магазин ""Погребок"" п.г.т. Смирных ул. 8 Марта, 37/А"
97,461-09алк/Угл,12/24/2009,"ООО ""Золотые пески""","Углегорский р-н, г. Углегорск, ул.Приморская, 53/2",МЕ005247,12/24/2012,действующая,алк> 15%,"магазин ""Золотые пески"" г. Углегорск ул. Приморская, 53, пом. 2"
98,464-09алк/ЮК,12/24/2009,"ООО ""ВЕРА""","Южно-Курильский р-н, с. Лагунное, магазин ""Агат""",МЕ005250,12/24/2012,действующая,алк> 15%,
99,463-09алк/ЮК,12/24/2009,"ООО ""Лад""","Южно-Курильский р-н, с. Малокурильское, ул.Советская,15",МЕ005249,12/24/2012,действующая,алк> 15%,"магазин ""Идеал"" с. Малокурильское ул.Советская,15"
100,467-09алк/См,12/24/2009,"ООО ""Компания ""Вектор-Сахалин""","Смирныховский р-н, п.г.т. Смирных, ул.Лесная,18/2",МЕ005253,12/24/2012,действующая,алк> 15%,"магазин ""Гавань"" п.г.т. Смирных ул.Центральная, 14; магазин ""Гавань"" п.г.т. Смирных ул.50 лет ВЛКСМ, 20"
101,462-09алк/Кор,12/24/2009,"ООО ""Империал""","Корсаковский р-н, г. Корсаков, ул.Вокзальная, 44/1",МЕ005248,12/24/2012,действующая,алк> 15%,"магазин ""Алекс"" г. Корсаков ул.Вокзальная,44"
102,466-09алк/Хол,12/24/2009,"ООО ""РЯБИНКА""","Холмский р-н, г. Холмск, пер.Зелёный, 3а",МЕ005252,12/24/2012,действующая,алк> 15%,"магазин ""Продукты"" г. Холмск пер.Зелёный, 3а"
103,465-09алк/Кур,12/24/2009,"ООО ""Велена""","Курильский р-н, г. Курильск, ул. Андрея Евдокимова, 51",МЕ005251,12/24/2012,действующая,алк> 15%,"магазин ""Велена"" г. Курильск ул.Евдокимова, 51"
104,630-06алк/ЮС,1/20/2012,"ООО ""Ажен""","г. Южно-Сахалинск, пр. Мира 45/а",МЕ006793,12/27/2012,действующая переоформленная,алк>15% алк <15%,"магазин ""У Надюши"" г. Южно-Сахалинск ул. Сахалинская, 98; магазин ""Привет"" г. Южно-Сахалинск пр. Мира, 45/А; магазин ""Привет 1"" г. Южно-Сахалинск пр. Мира, 60/А"
105,165-11алк/ЮС,12/28/2011,"ООО ""Сахалин Сапплай Компания""","г. Южно-Сахалинск, ул. Поповича, 40 / А",МЕ006772,12/27/2012,действующая,алк> 15%,"ресторан ""Бомбей Найт"" г. Южно-Сахалинск ул. Пуркаева, 39"
106,163-11алк/ЮС,12/28/2011,"ООО ""СахИмпЭкс""","г. Южно-Сахалинск, ул. Пуркаева, 31 / В",МЕ006770,12/27/2012,действующая,алк> 15%,"магазин ""Квартал"" г. Южно-Сахалинск ул. Пуркаева, 31/В"
107,167-11алк/Дол,12/28/2011,"ООО ""Высота""","Долинский р-н, г. Долинск, ул. Вилкова, 21",МЕ006777,12/27/2012,действующая,алк> 15%,"магазин ""Валенсия"" г. Долинск ул. Вилкова, 21"
108,164-11алк/Хол,12/28/2011,"ООО ""Трио""","Холмский р-н, г. Холмск, ул. Советская, 132",МЕ006771,12/27/2012,действующая,алк> 15%,"магазин ""Трио"" г. Холмск ул. Советская, 132"
109,634-06алк/ЮС,12/27/2006,"ООО ""Робунит""    ","г. Южно-Сахалинск, Коммунистический проспект, 39/б оф. 103   ",МЕ004133,12/27/2012,действующая продленная,алк> 15%,"кафе ""Изумруд"" г. Южно-Сахалинск Коммунистический проспект, 39/б"
110,171-11алк/ЮС,12/30/2011,"ООО ""Делфи""","г. Южно-Сахалинск, ул. Хабаровская, 44",МЕ006783,12/29/2012,действующая,алк> 15%,"кафе ""Человек дождя"" г. Южно-Сахалинск пл. р-он  Хомутово, ул. Центральная, 1/Б"
111,169-11алк/Дол,12/30/2011,"ООО ""Фиорд""","Долинский р-н, с.Углезаводск, ул. Торговая, 6",МЕ006776,12/29/2012,действующая,алк> 15%,"магазин ""Фиорд"" с.Углезаводск ул. Торговая, 6"
112,640-06алк/ЮС,12/17/2009,"ООО ""Альфа""","г. Южно-Сахалинск, пл.р/н Хомутово, ул.4-я Заречная, 28-б",МЕ005242,12/29/2012,действующая продленная,алк> 15%,"кафе ""Альфа"" г. Южно-Сахалинск пл. р/н Хомутово, ул. 4-я Заречная, 28/б"
113,161-11алк/ЮС,12/31/2011,"ООО ""Рассвет""","г. Южно-Сахалинск, пл. р-он Луговое, ул. Дружбы, 8",МЕ006768,12/30/2012,действующая,алк> 15%,"магазин ""Луговое"" г. Южно-Сахалинск пл. р-он Луговое, ул. Дружбы, 8"
114,471-09алк/ЮС,6/4/2010,"ООО ""Мозаика""","г. Южно-Сахалинск, пр.Победы, 6а",МЕ005376,12/30/2012,действующая переоформленная,алк> 15%,"магазин ""Мозаика"" г. Южно-Сахалинск пр.Победы,6а"
115,478-09алк/Дол,12/30/2009,"ООО ""Мрия""","Долинский р-н, с. Быков, ул.Вокзальная, 7",МЕ005271,12/30/2012,действующая,алк> 15%,"магазин ""Наташа"" с. Быков ул.Шахтёрская,11; магазин ""Мрия"" с. Быков ул.Вокзальная,7"
116,470-09алк/ЮС,12/30/2009,"ООО Инфинити""","г. Южно-Сахалинск, пр.Мира,56/3",МЕ005269,12/30/2012,действующая,алк> 15%,"бар ""Инфинити"" г. Южно-Сахалинск пр.Мира, 56/3"
117,476-09алк/Нев,12/30/2009,"ООО ""Родник""","Невельский р-н, г. Невельск, ул.Советская,18а",МЕ005261,12/30/2012,действующая,алк> 15%,"магазин ""Родник"" г. Невельск ул.Советская,18а; магазин ""Родник"" с. Шебунино 1-й Дачный пер."
118,472-09алк/ЮК,12/30/2009,"ООО ""ММП""","Южно-Курильский р-н, с. Малокурильское, ул.Советская,23",МЕ005266,12/30/2012,действующая,алк> 15%,"магазин ""Люкс"" с. Малокурильское ул.Советская,23"
119,469-09алк/ЮК,12/30/2009,"ООО ""ОКЕАН""","Южно-Курильский р-н, п.г.т. Южно-Курильск, ул.Карева",МЕ005265,12/30/2012,действующая,алк> 15%,"магазин ""Океан-2"" п.г.т. Южно-Курильск ул.Карева"
120,479-09алк/АС,12/30/2009,"ООО ""ТОРГОВАЯ КОМПАНИЯ""","Александровский р-н, г. Александровск-Сахалинский, ул.Дзержинского,8а",МЕ005272,12/30/2012,действующая,алк> 15%,"магазин ""Люкс"" г. Александровск-Сахалинский ул.Дзержинского,8а"
121,475-09алк/Ног,12/30/2009,"ООО ""Вира""","Ногликский р-н, п. Горячие Ключи,    ",МЕ005262,12/30/2012,действующая,алк> 15%,"магазин ""Атлант"" п. Горячие Ключи    "
122,474-09алк/Том.,12/30/2009,"ООО ""Восток""","Томаринский р-н, г. Томари, ул.Дзержинского, 23",МЕ005263,12/30/2012,действующая,алк> 15%,"магазин ""Восток"" г. Томари ул.Дзержинского,23"
123,477-09алк/Кур,12/30/2009,"ООО ""Звезда""","Курильский р-н, с. Горячие Ключи,    ",МЕ005255,12/30/2012,действующая,алк> 15%,"магазин ""Звезда"" с. Горячие Ключи ДОС,  11/1; магазин ""Звезда-2"" с.Горное ДОС, 9/1"
124,46-10алк/Кор,5/14/2010,"ООО ""Квартет""","Корсаковский р-н, г. Корсаков, ул. Гвардейская, 13",МЕ005362,12/31/2012,действующая продленная,алк> 15%,"кафе ""Драйв"" г. Корсаков ул. Гвардейская, 13"
125,481-09алк/Хол,12/31/2009,"ООО ""Велес""","Холмский р-н, г. Холмск, ул.Молодёжная,27/4",МЕ005273,12/31/2012,действующая,алк> 15%,"магазин ""Велес"" г. Холмск ул.Советская,114"
126,480-09алк/ЮК,12/31/2009,"ООО ""Дельфин""","Южно-Курильский р-н, с. Малокурильское, ул.Октябрьская, 4",МЕ005267,12/31/2012,действующая,алк> 15%,"магазин ""Дельфин"" с. Малокурильское ул.Октябрьская,4; кафе ""Дельфин"" с. Малокурильское ул.Октябрьская,4"
127,03-12алк/Хол,1/13/2012,"ООО ""Облака""","Холмский р-н, г. Холмск, ул. Советская, 114",МЕ006785,1/12/2013,действующая,алк> 15%,"бар ""Облака"" г. Холмск ул. Советская, 114"
128,02-12алк/Хол,1/13/2012,"ООО ""Терраса""","Холмский р-н, г. Холмск, ул. Советская, 114",МЕ006789,1/12/2013,действующая,алк> 15%,"ресторан ""Терраса"" г. Холмск ул. Советская, 114"
129,2-10алк/ЮС,1/15/2010,"ООО ""ЮТРАНС""","г. Южно-Сахалинск, пр.Мира,29",МЕ005275,1/15/2013,действующая,алк> 15%,"ресторан ""Лунный свет"" г. Южно-Сахалинск ул.Ленина,182а"
130,3-10алк/Дол,1/15/2010,"ООО ""ЭЛИТ""","Долинский р-н, г. Долинск, ул.Ленина,28/8",МЕ005274,1/15/2013,действующая,алк> 15%,"магазин ""Элит"" г. Долинск ул.Ленина,28"
131,6-06алк/Угл,1/17/2006,"ООО ""Аист""","Углегорский р-н, г. Шахтерск, ул. Коммунистическая, 9",Д633782,1/17/2013,действующая продленная,алк> 15%,"магазин ""Аист"" г. Шахтерск ул. Мира, 9; магазин ""Аист плюс"" г. Шахтерск ул. Коммунистическая, 9; магазин ""№ 34-35"" г. Шахтерск с. Ударное, ул. Ленина"
132,07-12алк/Хол,1/19/2012,"ООО ""Союз""","Холмский р-н, с.Чехов, ул. Северная, 26",МЕ006787,1/18/2013,действующая,алк> 15%,"магазин ""Северный"" с.Чехов ул. Северная, 26; магазин ""Маяк"" с.Чехов ул. Вокзальная, 2"
