                  Государственный реестр выданных лицензий  за май 2012 г. по  Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы ,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
,,,,,,магазин,"с.Хурба, садоводчество ""Амурские зори"" , ул. № 21",25.5,,17.7,08-23,,,
,,,,,,магазин,"с.Хурба, садоводчество ""Восход"", ул. Центральная д.1",43.8,,19.5,08-23,,,
,,,,,,магазин,"с.Хурба, садоводчество ""Амурские зори"", ул.  № 1",44.6,,19.3,08-23,,,
52,ООО,"""Людмила""","с.Хурба, ул.Добровольского д.3, 12, тел. 8-914-189-65-90",2712009328/271201001/1102712000038,розничная продажа АП 1 год,магазин,"с.Хурба, ул.Березовая д.8, садоводство ""Металлист""",25,25,10,08-23,продление,ХБ 001049 № 2160 15.05.2012 - 15.05.2013,
р-н имени Лазо,,,,,,,,,,,,,,
53,ООО,"""Мечта""","р.п.Мухен, ул.Ленина д.17а, тел. 41-444",2713013711/271301001/1062713012560,розничная продажа АП 2 года,магазин,"р.п.Мухен, ул.Ленина д.17а",238.3,,181.4,круглосуточно,продление,ХБ 001061 № 282 15.05.2012 - 15.05.2014,
,,,,,,магазин,"р.п.Мухен, ул.Аэродромная д.3",56.8,,43.7,9-22,,,
54,ООО,"""Эдем""","городок Переяславка Вторая д.72, 51, тел. 8-962-151-95-85",2713014137/271301001/1062713020380,розничная продажа АП 1 год,магазин,"городок Переяславка Вторая, ДОС-67",158.6,158.6,80.4,8-23,продление с 14.06.2012,ХБ 001082 № 695 14.06.2012 - 14.06.2013,
р-н имени Полины Осипенко,,,,,,,,,,,,,,
55,ООО," ""Эдем""","с.Бриакан, ул.Гаражная д.4, 1, тел. (42-144) 23-148",2717013818/271701001/1062717000774,розничная продажа АП 1 год,магазин,"с.Бриакан, ул.Гаражная д.4",20,20,20,10-22,продление,ХБ 001097 № 194 15.05.2012 - 15.05.2013,
Советско-Гаванский р-н,,,,,,,,,,,,,,
56,ООО,"""Бумеранг"""," р.п.Майский, ул.Чайковского д.32, тел. 91-2-45",2704003442/270401001/1032700100091,розничная продажа АП 1 год,магазин,"р.п.Майский, ул.Чайковского д.32",195,,30,10-20,продление,ХБ 001054 № 2359 15.05.2012 - 15.05.2013,
57,ООО,"""САМ ЯНГ""","г.Советская Гавань, ул.Гончарова д.9, тел. 8 (42-138) 9-77-55",2704018255/270401001/1062709001255,розничная продажа АП в розлив 1 год,закусочная,"г.Советская Гавань, ул.Гончарова д.9",104.1,104.1,28,11-01,впервые,ХБ 001065 № 2566 15.05.2012 - 15.05.2013,
58,ООО,"""Ялта"""," г.Советская Гавань, ул.Мичурина д.25а, тел. 8 (42-138) 42-799",2704018463/270401001/1062709010033,розничная продажа АП 2 года,магазин,"г.Советская Гавань, ул.Мичурина д.25а",53,53,33.7,07-21,продление,ХБ 001073 № 274 15.05.2012 - 15.05.2014,
59,ООО,"""ЛАРА"""," г.Советская Гавань, ул.Пионерская д.14, тел. (42-138) 4-88-8",2704018424/270401001/1062709006656,розничная продажа АП в розлив 1 год,закусочная,"г.Советская Гавань, ул.Пионерская д.14, цоколиный  этаж",65.4,41,14,круглосуточно,продление с 14.06.2012,ХБ 001102 № 460 14.06.2012 - 14.06.2013,
,,,,,,закусочная,"г.Советская Гавань, ул.Пионерская д.14, 1 этаж",51.9,51.9,4,круглосуточно,,,
Солнечный р-н,,,,,,,,,,,,,,
