"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, 
лицензий, действие которых приостановлено, и и аннулированнных лицензий 
на территории Петрозаводского городского округа",,,,,,,,,
,Лицензирующий орган:  с 01.05.10 г,,,,,,,,
№,,Дата ,,Реквизиты лицензии,,Срок действия лицензии,,Продление лицензии,Разграничение реализации по % спирта
," ОФПР, название, место нахождения, телефон, 
ФИО руководителя","приема
 док-тов",выдачи лицензии,серия ,"рег.
номер ",начало ,конец,на срок по ,
1,5,22,23,24,25,26,27,28,36
153,"ООО,Усадьба,Петрозаводск,Лисициной,17-59,",02/12/08,03/12/08,Б393398,138,03/12/08,03/12/13,,"вся АП, более 15 % - с 8 до 23"
154,"ООО,Фимекс,Петрозаводск,Московская,1,",31/12/03,14/01/04,393003,2,17/01/04,17/01/07,17/01/12,вся АП
155,"ООО,фирма Блэк плюс,Петрозаводск,Горького,25,",21/05/04,28/05/04,Б393049,40,04/06/04,04/06/07,04/06/12,вся АП
156,"ООО,фирма,Кварта,Петрозаводск,Л.Чайкиной,15,",27/10/08,31/10/08,Б393378,134,31/10/08,31/10/13,,"до 15 % -в городах, общая S < 50 кв.м"
157,"ООО,фирма Максима,Петрозаводск,Калевалы,4,",07/12/06,13/12/06,393074,28,13/12/06,13/12/11,,"вся АП, более 15 % - с 8 до 23"
158,"ООО,фирма Рауш,Петрозаводск,Горького,19-3,57-07-38,",27/05/04,03/06/04,Б393180,39,03/06/04,03/06/07,03/06/12,вся АП
159,"ООО,фирма2001,Петрозаводск,Мерецкова,3,57-14-60,",22/02/07,28/02/07,Б393019,17,28/02/07,28/02/12,,вся АП
160,"ООО,Фемели Голд,Петрозаводск,Державина,13, 72-90-65",26/12/08,26/01/09,Б393296,169,26/01/09,26/01/14,,вся АП
161,"ООО,фирма Омега-трэйд,Петрозаводск,Ленина,20,",14/05/09,19/05/09,Б393321,178,19/05/09,19/05/14,,вся АП
162,"ООО,Фудстор,Петрозаводск,Ровио,17/2,",28/12/09,30/12/09,Б393370,192,30/12/09,30/12/14,,вся АП
163,"ООО,Фуд индастри, Петрозаводск,пр.Октябрьский,13, ",30/11/09,29/12/09,Б393371,193,29/12/09,29/12/14,,вся АП
