ИНН из файла,Тип найденного клиента из КС,Название из КС,ИНН из КС,КПП из КС,СЦ по продукту Контур-Экстерн,СЦ по РАР,Статус,Регион СЦ,Горе,,,,
5004018907,Есть в КС,"ООО ""КВГ""",5004018907,500401001,"0944 ООО ""Архив неактивных абонентов""",нет,нет,77,обработан,5004018907500401001,,,
5004018978,Есть в КС,"ООО ""ИРБИС""",5004018978,500401001,"0944 ООО ""Архив неактивных абонентов""",нет,нет,77,не обработан,5004018978500401001,,,
5004018985,Есть в КС,"ООО ""Гермес""",5004018985,500401001,0374 ООО «Лидер-М»,нет,нет,50,обработан,5004018985500401001,,,
5004018992,Есть в КС,"Общество с ограниченной ответственностью ""Катюша""",5004018992,500401001,0374 ООО «Лидер-М»,0374 ООО «Лидер-М»,выставлен,50,обработан,5004018992500401001,,,
5004019001,Есть в КС,"ООО ""Фрегат""",5004019001,500401001,0374 ООО «Лидер-М»,нет,нет,50,обработан,5004019001500401001,,,
5004019040,Есть в КС,"ООО ""Аист""",5004019040,500401001,0743 ООО КИЦ развития предпринимательства Истринского р-на,0743 ООО КИЦ развития предпринимательства Истринского р-на,оплачен,50,не обработан,5004019040500401001,,,
5004019065,Есть в КС,"ООО ""Надежда""",5004019065,500401001,"0944 ООО ""Архив неактивных абонентов""",нет,нет,77,не обработан,5004019065500401001,,,
5004019072,Есть в КС,"ООО ""Светлана""",5004019072,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004019072500401001,,,
5004019139,Есть в КС,"Общество с ограниченной ответственностью ""Витал""",5004019139,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004019139500401001,,,
5004019185,Есть в КС,"ООО ""Селеш""",5004019185,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004019185500401001,,,
5004019259,Есть в КС,"ООО ""СКАЗКА""",5004019259,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004019259500401001,,,
5004019273,Есть в КС,"ООО ""ВУЛКАН-2""",5004019273,500401001,0374 ООО «Лидер-М»,0374 ООО «Лидер-М»,оплачен,50,обработан,5004019273500401001,,,
5004019354,Есть в КС,"Общество с ограниченной ответственностью ""Сканер-Групп""",5004019354,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004019354500401001,,,
5004021610,Есть в КС,ООО «Три-шестьдесят две»,5004021610,500401001,0374 ООО «Лидер-М»,нет,нет,50,не обработан,5004021610500401001,,,
