№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
,,,,,магазин,,,,,,,
,,,,,"27. г.Ярославль, пр. Ушакова, д. 13",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"28. г.Ярославль, ул. Строителей, д. 5а",,,,,,,
,,,,,магазин,,,,,,,
764,"Общество с ограниченной ответственностью ""ТОРГОВЫЙ КОМПЛЕКС ""ВИКТОРИЯ - 14""",1.0276E+12,7606003500,"Россия, г. Ярославль, ул. Свердлова, 106","1. г.Ярославль, ул. Свердлова, д. 106/13",с 16.06.2011 г. по 16.06.2016 г.,"76202711/Л0256,",,,,,
,"(ООО ""ТОРГОВЫЙ КОМПЛЕКС ""ВИКТОРИЯ - 14"")",,,,магазин (отдел),,"16.06.2011 г., ",,,,,
,,,,,"2. г. Ярославль, ул.Чехова, у дома 11",,,,,,,
,,,,,киоск,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"3. г.Ярославль, ул. Свердлова, д. 106/13",,,,,,,
,,,,,закусочная,,,,,,,
765,"Общество с ограниченной ответственностью ""Торговый комплекс ""Виктория-26""",1.0276E+12,7606005465,"г.Ярославль, ул.К.Либкнехта, д.45","1. г. Ярославль, ул.К.Либкнехта, д.45",с 11.07.2011 г. по 11.07.2014 г.,"76202711/Л0379,",,,,,
,"(ООО ""Торговый комплекс ""Виктория-26"")",,,,магазин,,"11.07.2011 г., ",,,,,
766,"Общество с ограниченной ответственностью ""Торговый центр ""Мечта""",1.06761E+12,7610069221,"Ярославская область, Рыбинский район, п.Тихменево, ул.Транспортная, д.17","1. Ярославская область, Рыбинский район, поселок Тихменево, ул. Свердлова, д.8",с 30.06.2011 г. по 30.06.2014 г.,"76202711/Л0311,",,,,,
,"(ООО ""Торговый центр ""Мечта"")",,,,магазин-кафетерий,,"30.06.2011 г., ",,,,,
,,,,,"2. Ярославская область, Рыбинский район, поселок Тихменево, ул. Свердлова, д.8",,,,,,,
,,,,,кафе,,,,,,,
767,"Общество с ограниченной ответственностью ""Торгсин""",1.06761E+12,7612035852,"Россия, Ярославская область, г.Углич, ул.Ленина, д.1","1. Ярославская область, г.Углич, ул.Ленина, д.1",с 30.06.2011 г. по 30.06.2016 г.,"76202711/Л0309,",,,,,
,"(ООО ""Торгсин"")",,,,магазин (отдел),,"30.06.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Углич, ул.Старостина, д.1а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. Ярославская область, г.Углич, ул.Ростовская, д.31",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"4. Ярославская область, г.Углич, ул.Ленинградская, д.3а",,,,,,,
,,,,,магазин,,,,,,,
768,"Общество с ограниченной ответственностью ""Трактир на набережной""",1.0676E+12,7604087060,"г.Ярославль, Волжская набережная, д.17","1. г. Ярославль, Волжская набережная, д.17",с 01.07.2012 г. по 01.07.2013 г.,"76202712/Л0289,",,,,,
,"(ООО ""Трактир на набережной"")",,,,кафе,,"28.06.2012 г., ",,,,,
769,"Общество с ограниченной ответственностью ""Трактир на Рыбинской""",1.0276E+12,7612029739,"Россия, Ярославская область, г.Углич, Рыбинское шоссе, д. 22в","1. Ярославская область, г.Углич, Рыбинское шоссе, д. 22в",с 13.04.2012 г. по 13.04.2013 г.,"76202712/Л0163,",,,,,
,"(ООО ""Трактир на Рыбинской"")",,,,кафе,,"13.04.2012 г., ",,,,,
770,"Общество с ограниченной ответственностью ""Транс-Сервис""",1.0476E+12,7610063237,"Россия, Ярославская область, г. Рыбинск, ул. Механизации, д. 1","1. Ярославская область, г. Рыбинск, ул.Механизации, д.1",с 17.08.2011 г. по 17.08.2016 г.,"76202711/Л0527,",,,,,
,"(ООО ""Транс- Сервис"")",,,,магазин,,"17.08.2011 г., ",,,,,
,,,,,"2. Ярославская область, Рыбинский район, пос. Ермаково",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Рыбинский район, пос. Ермаково",,,,,,,
,,,,,кафе,,,,,,,
771,"Общество с ограниченной ответственностью ""ТРАПЕЗА""",1.0276E+12,7606041590,"г.Ярославль, ул.Нефтяников (кафе ""Славянское"") у дома 29 ","1. г.Ярославль, Комсомольская площадь, территория мини-рынка",с 23.04.2008 г. по 23.04.2013 г.,"76202708/Л0098,",,Предыдущее переоформление 26.10.2011 г.,,,
,"(ООО ""Трапеза"")",,,,закусочная,,"23.04.2008 г., ",,-2,,,
,,,,,"2. г.Ярославль, Комсомольская площадь, территория мини-рынка",,,,,,,
,,,,,кафе-бистро,,,,,,,
,,,,,"3. г.Ярославль, ул.Нефтяников, у дома №29",,,,,,,
,,,,,кафе,,,,,,,
772,"Общество с ограниченной ответственностью ""ТРИАЛ""",1.0276E+12,7610021935,"Россия,Ярославская область,г.Рыбинск, улица Волжская набережная, д.177а, кв.54","1. Ярославская область, г. Рыбинск, пр.Ленина, д.183",с 08.07.2011 г. по 08.07.2013 г.,"76202711/Л0370,",,,,,
,"(ООО ""ТРИАЛ"")",,,,кафе,,"08.07.2011 г., ",,,,,
773,"Общество с ограниченной ответственностью ""Трио""",1.06761E+12,7612036221,"Ярославская область, Угличский район, село Улейма, улица Никольская, дом 16","1. Ярославская область, Угличский район, с.Улейма, ул.Никольская, д.16",с 14.02.2012 г. по 14.02.2017 г.,"76202712/Л0057,",,,,,
,"(ООО ""Трио"")",,,,магазин,,"14.02.2012 г., ",,,,,
774,"Общество с ограниченной ответственностью ""ТРИО""",1.0676E+12,7604086067,"Ярославская область, г.Ярославль, пр-д Ушакова, д.10а.","1. г.Ярославль,проезд Ушакова, д.10а",с 21.07.2012 г. по 21.07.2013 г.,"76202712/Л0346,",,,,,
,"(ООО ""ТРИО"")",,,,закусочная,,"16.07.2012 г., ",,,,,
,,,,,"2. г.Ярославль, проезд Ушакова, д. 10а",,,,,,,
,,,,,магазин,,,,,,,
775,"Общество с ограниченной ответственностью ""ТРИУМФ""",1.07761E+12,7611017240,"152300, Ярославская область, г. Тутаев ул.Луначарского, д. 36.","1. Ярославская область, г. Тутаев, ул.Луначарского, д.36",с 10.10.2008 г. по 10.10.2013 г.,"76202708/Л0278,",,,,,
,"(ООО ""Триумф"")",,,,магазин,,"10.10.2008 г., ",,,,,
776,Троицкое сельское потребительское общество,1.0276E+12,7622002550,"Ярославская область, Переславский район, с.Троицкая слобода, ул. Троицкая, д. 61","1. Ярославская область, Переславский район, с.Новое, ул.Дачная, д.111",с 05.01.2010 г. по 05.01.2015 г.,"76202709/Л0277,",,Предыдущее переоформление 09.08.2012 г.,,,
,(Троицкое сельпо),,,,магазин,,"30.12.2009 г., ",,"(5) код 6,11",,,
,,,,,"2. Ярославская область, Переславский район, д.Перелески, ул.Центральная, д.50",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Переславский район, с.Рахманово, ул.Центральная, д.47",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Переславский район, с.Большая Брембола, ул.Строителей, д.21",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Переславский район, с.Глебовское, ул.Московская, д.105",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, Переславский район, с.Троицкая слобода, ул.Троицкая, д.1 б",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. Ярославская область, Переславский район, д. Щелканка, ул.Ярославская, 25",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"8. Ярославская область, Переславский район, д. Скоморохово, ул.Крестьянская, д.1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"9. Ярославская область, Переславский район, с.Новоселье, ул.Центральная, д.9",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"10. Ярославская область, Переславский район, с. Лыченцы , ул.Центральная, д.61а",,,,,,,
,,,,,магазин,,,,,,,
777,"Общество с ограниченной ответственностью ""Троя""",1.0576E+12,7610066333,"Россия, Ярославская область, Рыбинский район, пос. Каменники, ул. Юбилейная, д.10.","1. Ярославская область, Рыбинский район, пос. Каменники, ул. Юбилейная, д. 10",с 16.12.2008 г. по 16.12.2013 г.,"76202708/Л0405,",,Предыдущее переоформление 23.08.2010 г.,,,
,"(ООО ""Троя"")",,,,магазин,,"16.12.2008 г., ",,-2,,,
778,"Общество с ограниченной ответственностью ""Труханович""",1.0676E+12,7603032245,"Российская Федерация, г.Ярославль, ул.Ляпидевского, д.24","1. г.Ярославль, ул.Ляпидевского, д.24",с 31.05.2011 г. по 31.05.2016 г.,"76202711/Л0222,",,,,,
,"(ООО ""Труханович"")",,,,магазин,,"31.05.2011 г., ",,,,,
,,,,,"2. г.Ярославль, пр. Машиностроителей, д.52",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г.Ярославль, ул. Ляпидевского, д.24",,,,,,,
,,,,,кафетерий,,,,,,,
779,"Общество с ограниченной ответственностью ""ТСК - Хорека""",1.1276E+12,7604219990,"Российская Федерация, Ярославская область, г.Ярославль, Московский проспект, дом 93","1. г.Ярославль, Московский просп., д. 93",с 04.07.2012 г. по 04.07.2013 г.,"76202712/Л0315,",,,,,
,"(ООО ""ТСК - Хорека"")",,,,кафе,,"04.07.2012 г., ",,,,,
780,"Общество с ограниченной ответственностью ""ТСП""",1.0376E+12,7602039061,"Российская Федерация, г.Ярославль, ул.Бабича, д.11, корп..5, кв.173","1. г.Ярославль, ул. Богдановича, у д. 16",с 01.07.2011 г. по 01.07.2016 г.,"76202711/Л0333,",,,,,
,"(ООО ""ТСП"")",,,,закусочная,,"01.07.2011 г., ",,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
781,"Общество с ограниченной ответственностью ""ТУНИ""",1.0676E+12,7604093272,"Россия, г. Ярославль, ул. Большая Луговая, д.17/29, кв.2","1. г. Ярославль, пр. Ленина, у дома 16",с 28.07.2008 г. по 28.07.2013 г.,"76202708/Л0199,",,Предыдущее переоформление 15.05.2012 г.,,,
,"(ООО ""ТУНИ"")",,,,киоск,,"28.07.2008 г., ",,(4) код 4,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"2. г. Ярославль, пр. Ленина, у дома 55",,,,,,,
,,,,,киоск,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"3. г.Ярославль, ул. Советская, у дома 50",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"4. г.Ярославль, ул.Песочная, д.1",,,,,,,
,,,,,магазин,,,,,,,
782,"Общество с ограниченной ответственностью КАФЕ ""ТУРИСТ""",1.06761E+12,7606060561,"Россия, г.Ярославль, проспект Ленина, дом 2","1. г. Ярославль, пр.Ленина, д.2",с 12.05.2012 г. по 12.05.2013 г.,"76202712/Л0208,",,,,,
,"(ООО КАФЕ ""ТУРИСТ"")",,,,кафе,,"12.05.2012 г., ",,,,,
783,"Общество с ограниченной ответственностью ""Тур-комплекс ""Соляной остров""",1.11763E+12,7621008710,"Россия, Ярославская область, Некрасовский район, р.п. Некрасовское, ул. Кооперативная, д.1а. ","1. Ярославская область, Некрасовский район, Рп Некрасовское, ул. Кооперативная, д. 1а",с 24.04.2012 г. по 24.04.2013 г.,"76202712/Л0189,",,,,,
,"(ООО ""Тур-комплекс ""Соляной остров"")",,,,кафе,,"24.04.2012 г., ",,,,,
784,"Общество с ограниченной ответственностью ""Торговый центр ""Лионъ""",1.0276E+12,7609001476,"Ярославская область, Ростовский район, г.Ростов, ул. 50 лет Октября, д.9/6.","1. Ярославская область, г. Ростов, Борисоглебское шоссе, д.5",с 26.09.2011 г. по 26.09.2016 г.,"76202711/Л0573,",,,,,
,"(ООО ""ТЦ ""Лионъ"")",,,,бар,,"26.09.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Ростов, ул. 50 лет Октября, д. 11",,,,,,,
,,,,,бар,,,,,,,
785,"Общество с ограниченной ответственностью ""У братьев""",1.0676E+12,7604094124,"Российская Федерация, г.Ярославль, ул.Нефтяников, д.28, кв.64","1. г. Ярославль, ул.Кудрявцева, д.28",с 03.10.2011 г. по 03.10.2013 г.,"76202711/Л0587,",,,,,
,"(ООО ""У братьев"")",,,,кафе,,"03.10.2011 г., ",,,,,
786,"Общество с ограниченной ответственностью ""У Галины""",1.07761E+12,7617007665,"Российская Федерация, Ярославская область, Даниловский р-н, деревня Костюшино, ул.Молодежная,д.10, кв.1","1. Ярославская область, Ярославский р-н, Кузнечихинский сельский округ, с. Медягино, д.1а",с 10.12.2007 г. по 10.12.2012 г.,"76202707/Л0150,",,,,,
,"(ООО ""У Галины"")",,,,магазин,,"10.12.2007 г., ",,,,,
787,"Общество с ограниченной ответственностью ""У ЕЛЕНЫ""",1.0276E+12,7610015515,"152907, Россия, Ярославская область, г.Рыбинск, ул.Солнечная, д. 3","1. Ярославская область, г. Рыбинск, ул. Солнечная, д.3",с 27.12.2008 г. по 27.12.2013 г.,"76202708/Л0435,",,,,,
,"(ООО ""У ЕЛЕНЫ"")",,,,магазин,,"26.12.2008 г., ",,,,,
788,Угличское кооперативное потребительское общество,1.0276E+12,7612000320,"Ярославская область, Угличский район,г.Углич, ул.Ярославская,д.12","1. Ярославская область, Угличский район, г.Углич, ул. Ольги Берггольц, д.13-магазин №1",с 21.05.2008 г. по 21.05.2013 г.,"76202708/Л0130,",,Предыдущее переоформление 24.08.2012 г.,,,
,"(""Угличское КПО"")",,,,магазин,,"21.05.2008 г., ",,(4) код 15,,,
,,,,,"2. Ярославская область, Угличский район, с.Дивная Гора",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Угличский район, д. Ефремово",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Угличский район, с.Клементьево",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Угличский район, с.Василево",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, Угличский район, с.Каблуково",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. Ярославская область, Угличский район, д.Судилово",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"8. Ярославская область, Угличский район, д.Петрищево",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"9. Ярославская область, Угличский район, д.Губино",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"10. Ярославская область, Угличский район, д. Заозерье",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"11. Ярославская область, Угличский район, д.Алексеево",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"12. Ярославская область, Угличский район, д.Белоусово",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"13. Ярославская область, Угличский район с.Ильинское",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"14. Ярославская область, Угличский район, г.Углич, ул.Ольги Берггольц,д.13-магазин №2",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"15. Ярославская область, г.Углич, ул.Ростовская, д.58",,,,,,,
,,,,,магазин,,,,,,,
789,Угодичское потребительское общество,1.0276E+12,7609004646,"Российская Федерация, Ярославская область, Ростовский район, село Угодичи, ул.Овинная, д.2.","1. Ярославская область, Ростовский район, с. Угодичи, пл. Базарная, д. 10",с 19.08.2011 г. по 19.08.2016 г.,"76202711/Л0535,",,Предыдущее переоформление 10.10.2011 г.,,,
,(Угодичское П.О.),,,,магазин (отдел),,"19.08.2011 г., ",,(4) код 9,,,
,,,,,"2. Ярославская область, Ростовский район, с. Васильково, д. 38",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. Ярославская область, Ростовский район с. Сулость, д. 87",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"4. Ярославская область, Ростовский район, с. Белогостицы, д. 89а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"5. Ярославская область, Ростовский район, с. Мосейцево, ул. Труда, д.47",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"6. Ярославская область, Ростовский район, с. Якимовское, д. 33",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"7. Ярославская область, Ростовский район, с.Воржа, ул.Заводская, д.1",,,,,,,
,,,,,магазин (отдел),,,,,,,
790,"Общество с ограниченной ответственностью ""УЛЕЙ """,1.0576E+12,7602050072,"150060,г.Ярославль, ул.Волгоградская, д.43, кв.33","1. г.Ярославль, пересечение ул.Урицкого и Ленинградского пр.",с 01.01.2009 г. по 01.01.2014 г.,"76202708/Л0460,",,,,,
,"(ООО ""УЛЕЙ"")",,,,мини-магазин,,"29.12.2008 г., ",,,,,
791,"Общество с ограниченной ответственностью ""Улица цветов""",1.1076E+12,7602078871,"Россия, г.Ярославль, Ленинградский проспект, дом 123.","1. г.Ярославль, Московский проспект, д. 82а",с 09.02.2012 г. по 09.02.2015 г.,"76202712/Л0052,",,,,,
,"(ООО ""Улица цветов"")",,,,кафе,,"09.02.2012 г., ",,,,,
792,"Общество с ограниченной ответственностью ""Универсал""",1.0676E+12,7604089861,"Россия, г.Ярославль, ул.Большая Фёдоровская, д.76 Б, кв.30","1. г. Ярославль, ул.Маланова, д.21",с 02.08.2012 г. по 02.08.2013 г.,"76202712/Л0376,",,,,,
,"(ООО ""Универсал"")",,,,магазин,,"02.08.2012 г., ",,,,,
793,"Общество с ограниченной ответственностью ""Универсалторг""",1.0276E+12,7622009940,"Российская Федерация, Ярославская область, город Переславль-Залесский, ул.Свободы, д.4, офис 18.","1. Ярославская область, г.Переславль-Залесский, ул. Свободы, д.50",с 01.01.2012 г. по 01.01.2015 г.,"76202711/Л0768,",,Предыдущее переоформление 14.03.2012 г.,,,
,"(ООО ""Универсалторг"")",,,,магазин,,"27.12.2011 г., ",,(4) - код 4,,,
,,,,,"2. Ярославская область, г.Переславль-Залесский, ул.Полевая, д.6а",,,,,,,
,,,,,павильон,,,,,,,
,,,,,"3. Ярославская область, Переславский район, 10-й км автодороги ""Объезд г.Переславля""",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"4. Ярославская область, г.Переславль-Залесский, мкрн. Чкаловский, д. 46а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, г.Переславль-Залесский, ул. Свободы, д. 76а",,,,,,,
,,,,,магазин,,,,,,,
794,"Общество с ограниченной ответственностью ""Уралочка""",1.1276E+12,7603052523,"г.Ярославль, ул.Клубная, у дома 47 ","1. г.Ярославль, ул.Клубная, у дома 47",с 18.05.2012 г. по 18.05.2013 г.,"76202712/Л0222,",,,,,
,"(ООО ""Уралочка"")",,,,закусочная,,"18.05.2012 г., ",,,,,
795,"Общество с ограниченной ответственностью ""Урожай""",1.0276E+12,7610006567,"Россия, Ярославская область, г.Рыбинск","1. Ярославская область, г Рыбинск, ул. 50 лет ВЛКСМ, д.2",с 09.10.2011 г. по 09.10.2016 г.,"76202711/Л0599,",,,,,
,"(ООО ""Урожай"")",,,,магазин,,"07.10.2011 г., ",,,,,
796,"Общество с ограниченной ответственностью "" Усадьба Плешанова""",1.0376E+12,7609016680,"Ярославская область, г .Ростов, ул. Ленинская, д.34.","1. Ярославская область, г. Ростов, ул. Ленинская, д. 34",с 22.04.2011 г. по 22.04.2013 г.,"76202711/Л0143,",,,,,
,"(ООО "" Усадьба Плешанова"")",,,,кафе,,"22.04.2011 г., ",,,,,
797,"Общество с ограниченной ответственностью ""Услада""",1.06761E+12,7611016134,"Ярославская область, город Тутаев, улица Советская, дом 18а","1. Ярославская область, г.Тутаев, ул.Советская, д.18а",с 21.07.2012 г. по 21.07.2015 г.,"76202712/Л0347,",,,,,
,"(ООО ""Услада"")",,,,магазин,,"16.07.2012 г., ",,,,,
798,"Общество с ограниченной ответственностью ""Успенский дворик""",1.0576E+12,7612034834,"Российская Федерация, Ярославская область, г.Углич, ул.Ленина, д.1","1. Ярославская область, г.Углич, ул.Ленина, д.1",с 04.05.2011 г. по 04.05.2016 г.,"76202711/Л0170,",,,,,
,"(ООО ""Успенский дворик"")",,,,магазин,,"04.05.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Углич, ул.Ленина, д.83/39",,,,,,,
,,,,,магазин,,,,,,,
799,"Общество с ограниченной ответственностью ""Успех""",1.07761E+12,7606066210,"Российская Федерация, город Ярославль, ул. Кирова, д.5","1. г.Ярославль, ул.Первомайская, д.25/26",с 14.07.2009 г. по 14.07.2013 г.,"76202709/Л0125,",Продлена 14.07.2011 г. по 14.07.2013 г.,,,,
,"(ООО ""Успех"")",,,,кафе,,"14.07.2009 г., ",,,,,
800,"Общество с ограниченной ответственностью ""Успех""",1.09761E+12,7606073560,"Российская Федерация, Ярославская область, Ростовский район, с.Шурскол, ул.Квартал ""А"", д.9, кв.30","1. Ярославская область, г.Ростов, ул.Московская, д.49а",с 02.02.2012 г. по 02.02.2013 г.,"76202712/Л0038,",,,,,
,"(ООО ""Успех"")",,,,кафе,,"02.02.2012 г., ",,,,,
801,"Общество с ограниченной ответственностью ""Уют""",1.06761E+12,7619004010,"Ярославская область, Мышкинский район, село Охотино, улица Труда, дом 10","1. Ярославская область, Мышкинский район, с.Охотино, ул.Труда, д. 10",с 31.05.2011 г. по 31.05.2016 г.,"76202711/Л0224,",,,,,
,"(ООО ""Уют"")",,,,магазин,,"31.05.2011 г., ",,,,,
802,"Общество с ограниченной ответственностью ""Фабричный""",1.1176E+12,7602084000,"гор.Ярославль, ул. Большая Норская, д. 39","1. г.Ярославль, 2-й Норский пер., д. 4",с 25.11.2011 г. по 25.11.2012 г.,"76202711/Л0700,",,,,,
,"(ООО ""Фабричный"")",,,,магазин,,"25.11.2011 г., ",,,,,
803,"Общество с ограниченной ответственностью ""Фаворит""",1.06761E+12,7623004479,"Россия, Ярославская область, Первомайский район, п. Пречистое, ул. Вологодская, д. 25б","1. Ярославская область, Первомайский район, п. Пречистое, ул. Вологодская, д. 25 б",с 01.07.2011 г. по 01.07.2016 г.,"76202711/0342,",,,,,
,"(ООО ""Фаворит"")",,,,закусочная,,"01.07.2011 г., ",,,,,
,,,,,"2. Ярославская область, Первомайский район, п. Пречистое, ул. Фестивальная, д. 42 а",,,,,,,
,,,,,закусочная,,,,,,,
,,,,,"3. Ярославская область, Первомайский район, п. Пречистое, ул. Железнодорожная, д.4",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Первомайский район, п. Пречистое, ул. Советская, д.72",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Первомайский район, п. Пречистое, ул. Фестивальная, д. 22",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, Первомайский район, п. Пречистое, ул. Ярославская, д.46",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. Ярославская область, Первомайский район, п. Пречистое, ул. Ярославская, д.79 а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"8. Ярославская область, Первомайский район, ст.Скалино, пос.Лесоучастка, д.60",,,,,,,
,,,,,магазин,,,,,,,
804,"Общество с ограниченной ответственностью ""ФАННИ КАФЕ ЯРОСЛАВЛЬ""",1.1176E+12,7604204176,"Российская Федерация, Ярославская область, город Ярославль, ул. Гоголя, д.2","1. г.Ярославль, Тутаевское шоссе, д.1",с 07.12.2011 г. по 07.12.2014 г.,"76202711/Л0712,",,,,,
,"(ООО ""ФАННИ КАФЕ ЯРОСЛАВЛЬ"")",,,,кафе,,"07.12.2011 г., ",,,,,
805,"Общество с ограниченной ответственностью ""Федулов и Ко""",1.06761E+12,7622013248,"Ярославская обл., Переславский р-он, п.Ивановское, ул.Московская, д.15","1. Ярославская область, Переславский район, пос.Ивановское, ул.Московская, д.15",с 08.06.2011 г. по 08.06.2016 г.,"76202711/Л0242,",,,,,
,"(ООО ""Федулов и Ко"")",,,,бар,,"08.06.2011 г., ",,,,,
,,,,,"2. Ярославская область, Переславский район, д.Перелески, ул.Центральная, д.34",,,,,,,
,,,,,бар,,,,,,,
806,"Общество с ограниченной ответственностью ""Феникс""",1.0676E+12,7603032446,"Ярославская область, г.Ярославль, пр-кт Машиностроителей, 15, корпус 2, квартира 220","1. Ярославская область, Ярославский район, п.Ивняки, ул.Центральная, д.6-а",с 27.06.2011 г. по 27.06.2016 г.,"76202711/Л0281,",,,,,
,"(ООО ""Феникс"")",,,,магазин,,"27.06.2011 г., ",,,,,
807,"Общество с ограниченной ответственностью ""Феникс""",1.0276E+12,7609014242,"Российская Федерация, Ярославская область, г.Ростов, ул. Спартаковская, д 98, кв.66.","1. Ярославская область, г.Ростов, ул. Февральская, д.32а",с 11.07.2011 г. по 11.07.2013 г.,"76202711/Л0371,",,,,,
,"(ООО ""Феникс"")",,,,магазин,,"08.07.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Ростов, 1 МКР, д.18а",,,,,,,
,,,,,магазин,,,,,,,
808,"Общество с ограниченной ответственностью ""Фиалка-Плюс""",1.0576E+12,7611015356,"152300, Ярославская область, г.Тутаев, ул.Пролетарская, д.4","1. Ярославская область, г.Тутаев, ул.Пролетарская, д.4",с 30.10.2008 г. по 30.10.2013 г.,"76202708/Л0296,",,,,,
,"(ООО ""Фиалка-Плюс"")",,,,магазин,,"30.10.2008 г., ",,,,,
809,"Общество с ограниченной ответственностью ""ФИЕСТА""",1.0576E+12,7610067055,"Ярославская область, г.Рыбинск, ул.Гагарина,.18-55","1. Ярославская область, г.Рыбинск,ул.Рабочая,д.49",с 19.07.2011 г. по 19.07.2013 г.,"76202711/Л0425,",,,,,
,"(ООО ""Фиеста"")",,,,закусочная,,"19.07.2011 г., ",,,,,
810,"Общество с ограниченной ответственностью ""Фирма Б.Б.Б.""",1.0276E+12,7619000030,"Россия, Ярославская область, Мышкинский район, город Мышкин, улица Энергетиков, дом 7, кв.1","1. Ярославская область, г.Мышкин, ул. Энергетиков, д.14",с 07.07.2011 г. по 07.07.2016 г.,"76202711/Л0353,",,,,,
,"(ООО ""Фирма Б.Б.Б."")",,,,магазин,,"07.07.2011 г., ",,,,,
,,,,,"2. Ярославская область, г.Мышкин, ул. Газовиков, д.33",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, г.Мышкин, ул. Успенская, д. 4",,,,,,,
,,,,,магазин,,,,,,,
811,"Общество с ограниченной ответственностью ""Флагма""",1.06761E+12,7610069119,"Ярославская область, г.Рыбинск, ул.Блюхера/Куйбышева, д.12/58.","1. Ярославская область, г. Рыбинск, ул.Звездная,д.5",с 21.11.2008 г. по 21.11.2013 г.,"76202708/Л0343,",,Предыдущее переоформление 22.04.2011 г.,,,
,"(ООО ""Флагма"")",,,,магазин,,"21.11.2008 г., ",,"(4) - коды 1,8",,,
,,,,,"2. Ярославская область, Рыбинский р-н, п.Каменники, ул.Юбилейная,д.6",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Рыбинский район, п.Каменники, ул. Волжская, д.7",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, г.Рыбинск, ул.Молодежная, д.12/ул.Зои Космодемьянской, д.6",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, г.Рыбинск, ул. Куйбышева, д.9",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, г.Рыбинск, ул. Блюхера, д. 12/Куйбышева, д. 58",,,,,,,
,,,,,магазин,,,,,,,
