Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
82,"ООО ""Дарина""",2424005550,21.12.07,21.12.12,5019-АР,105447,"663510, Манский район, с.Шалинское, ул.Гончарова, 112 А","Магазин Манский район, с.Шалинское, ул.Гончарова, 112 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", 17.03.08, 09.04.08
83,"ООО ""Татьяна""",2462037023,21.12.07,21.12.12,5025-АР,105443,"660124, г.Красноярск, ул.Борисевича, 2 Г","Павильон г.Красноярск, ул.Борисевича, 2 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", 04.12.09 04.12.09 16.12.09, 16.12.09
84,"ООО ""ВиТа""",2464077945,03.01.08,03.01.13,5029-АР,105460,"660006, г.Красноярск, ул.Ключевская, 97 Е","Павильон г.Красноярск, ул.Ключевская, 97 Е (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
85,"ОАО ""Гостиница Октябрьская""",2466026696,25.12.07,25.12.12,5037-АР,105455,"660049, г.Красноярск, просп.Мира, 15","Бар г.Красноярск, просп.Мира, 15, 6 этаж, пом.13 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
86,"ООО ""ДОМ""",2459013287,27.12.07,27.12.12,5038-АР,105453,"662320, г.Шарыпово, микрорайон Берлин, 23-2","Предприятие общественного питания г.Шарыпово, микрорайон Берлин, 23-2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", 12.03.08, 24.03.08
87,"ООО ""ДОМ3""",2420071093,30.12.07,30.12.12,5039-АР,105466,"663485, Кежемский район, п.Новая Недокура, ул.Супругов Самаль, 6 А","Магазин Кежемский район, пос.Недокура, ул.Супругов Самаль, 6 А (продажа всей алкогольной продукции.)", , 
88,"ООО ""Ирбис""",2464098092,25.12.07,25.12.12,5045-АР,105472,"660078, г.Красноярск, ул.Парашютная, 9 А","Магазин г.Красноярск, ул.Парашютная, 9 А, пом.69 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
89,"ООО ""Александра""",2465101252,25.12.07,25.12.12,5048-АР,105475,"660112, г.Красноярск, ул.Воронова, 12-215","Павильон г.Красноярск, ул.Воронова, 16 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
90,"ООО ""Вояж""",2426004199,25.12.07,02.10.12,5049-АР,105476,"663400, Мотыгинский район, п.Мотыгино, ул.Таежная, 22","Магазин Мотыгинский район, п.Мотыгино, ул.Таежная, 22 (продажа всей алкогольной продукции.)", , 
,,,,,,,,"Магазин Мотыгинский район, п.Мотыгино, ул.Советская, 2 (продажа всей алкогольной продукции.)",,
,,,,,,,,"Магазин Мотыгинский район, п.Мотыгино, ул.Центральная, 12 (продажа всей алкогольной продукции.)",,
91,"ООО ""Фирма ""СИБФОРТ""",2466050748,28.12.07,28.12.12,5050-АР,105477,"660049, г.Красноярск, ул.Ленина, 21, оф.34","Магазин г.Красноярск, просп.Комсомольский, 17, пом.85 (продажа всей алкогольной продукции, кроме спирта питьевого.)", 19.05.08, 30.05.08
92,"ООО ""БАРО""",2464203477,28.12.07,28.12.12,5052-АР,105479,"660093, г.Красноярск, просп.Красноярский рабочий, 167 Г","Павильон г.Красноярск, просп.Красноярский рабочий, 167 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
93,"ООО ""Алмаз""",2450023788,28.12.07,28.12.12,5247-АР,105488,"663602, г.Канск, ул.Краевая, 100, строение 2","Магазин г.Канск, ул.Краевая, 100, стр.2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
94,"ООО ""Бастет""",2452033157,26.12.07,26.12.12,5249-АР,105485,"662978, г.Железногорск, просп.Ленинградский, 13 Б","Предприятие общественного питания г.Железногорск, просп.Ленинградский, 11, пом.41 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
95,"ООО ""ВАСИЛИСА""",2466119742,27.12.07,27.12.12,5252-АР,105491,"660077, г.Красноярск, ул.Молокова, д.1,1,176","Предприятие общественного питания г.Красноярск, ул.Молокова, 1, корп.1,пом.176 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
96,"ООО ""Кириков""",2463078791,27.12.07,27.12.12,5254-АР,105497,"660028, г.Красноярск, ул.Киренского, 118, корпус Г","Павильон г.Красноярск, ул.Киренского, 118 Г (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
97,"ООО ""НАТАЛИ""",2407062117,28.12.07,28.12.12,5256-АР,105498,"663460, Богучанский район, пос.Октябрьский, ул.Привокзальная, 5 М","Магазин Богучанский район, пос.Октябрьский, ул.Привокзальная, 5 М (продажа всей алкогольной продукции.)", , 
98,"ООО ""Главный вход""",2464110631,27.12.07,27.12.12,5257-АР,105493,"660078, г.Красноярск, ул.Свердловская, 29","Павильон г.Красноярск, ул.Свердловская, 29 В (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
99,"ООО ""Простор""",2448004530,28.12.07,28.12.12,5261-АР,105495,"663960, г.Заозерный, ул.Ленина, 17","Магазин г.Заозерный, ул.Мира, 16 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
100,"ООО ""Производственно-коммерческая фирма ""Торгавтосервис""",2463010289,10.01.08,10.01.13,5263-АР,105502,"663020, Емельяновский район, первый км.автодороги на с.Частоостровское","Магазин Емельяновский район, 1-ый км.а/д, на с.Частоостровское, . (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
101,"ООО ""КАСКАД""",2454017802,10.01.08,10.01.13,5264-АР,105534,"662544, г.Лесосибирск, Южный промышленный узел, 12/73","Магазин г.Лесосибирск, пер.Светлый, 7 А (продажа всей алкогольной продукции.)", , 
102,"ООО ""Айвенго""",2455025154,14.01.08,14.01.13,5265-АР,105504,"662610, г.Минусинск, ул.Абаканская, 59","Предприятие общественного питания г.Минусинск, ул.Абаканская, 59, пом.101 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
103,"ОАО ""Агинское хлебоприемное""",2433001287,10.01.08,10.01.13,5266-АР,105505,"663580, Саянский район, с. Агинское, ул.Садовая, 2","Магазин Саянский район, с. Агинское, ул.Красноармейская, 93 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
104,"ООО ""Майер и Ко""",2405415649,10.01.08,10.01.13,5269-АР,105509,"662133, Бирилюсский район, с.Полевое, ул.Центральная, 9","Магазин Бирилюсский район, д.Промбор, ул.Центральная, 20 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
