Городской округ Саранск,,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,,Ф.И.О. ,
ор-,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,,руководителя (учредителя),
гани,цион-,,,,,объектов,лицензииё,факс,новки и,,,
за,ный,,,ИНН,,,,,возобнов-,,,
ций,№,,,ОГРН,,,,,ления,,,
в,лицен-,,,,,,,,лицензии,,,
р-не,зии,,,,,,,,,,,
,,,,,"магазин ""Елена"", с. Сабур-Мачкасы, ул. Советская, 54 а, Чамзинский район",,,,,,,
,,,,,"магазин ""Продукты"", п. Комсомольский, ул. Центральная Зеленая, 7, Чамзинский район",,,,,,,
,,,,,"магазин ""Ника"", п. Чамзинка, ул. Строительная, 4",,,,,,,
1,17,13 МЕ,"ООО ""ТеплоИнвест-С"" г. Саранск, ул.",1328904697,"м-н с. Берсеневка, ул. Советская, 61а, Лямбирск.",,15/02/12,2-83-32,,,Ошкина Марина Анатольевна,
,,001938,"Рузаевская, 36б",1061328001360,"м-н ""Триумф"" п. Чамзинка, ул. Почтовая, 8",,28/02/13,30-34-86,,,Воронин Александр Вячеславович,
,,,Всего - 3,,"м-н п. Комсомольский, ул. Респуюликанская, 3",,"""-""-""",89272763486,,,Ошкин Анатолий Иванович,
,,,,,"бар, с. Берсеневка, ул. Советская, 61а, Лямбирский район",,,,,,,
1,03,13 МЕ,"ООО ""ТорГрад"" г. Саранск, ул. Косарева, 90а",1328904288,"м-н ""Универсам 24 часа"" г. Саранск, ул. Косарева, 90а",1,16/02/12,55-19-50,,,Зуйкова Нина Александровна,
,,001922,,1051328051521,,,16/01/13,89271854300,,,Лапшина Нина Николаевна,
1,74,13 МЕ,"ООО ""Пирамиды"" г. Саранск, ул. Пролетар-",1326195981,"кафе ""Пирамиды"" г. Саранск, ул. Пролетарская, 43, стр. 1",2,15/04/11,21-06-06,,,Талалаева Вера Николаевна,
,,001519,"ская. 43, стр. 1",1061326001186,"кафе ""Тайм-аут"" г. Саранск, ул. Л.Толстого, 23",,15/04/16,89047209953,,,Завьялова Светлана Павловна,
1,157,13 РМ,"ООО ""Камертон"" г. Саранск, ул. Веселовского,",1327001759,"магазин,  г. Саранск, ул. Веселовского, 78",1,15/06/12,89276435069,,,Дмитриченко Галина Мусеевна,
,,000050,62 а,1061327008247,,,15/06/13,,,,,
1,197,13 РМ,"ООО ""Торговый двор 33"" г. Саранск, п. Луховка, ",1328161890,"м-н ""Ассорти"" г. Саранск, ул. Косарева, 80а ",1,29/06/12,25-84-10,пр.30.07.10,,Акулинина Лариса Алексеевна,
,,000088,", ул. Заводская, 9а",1021301119840,,,29/06/13,89603340784,в. 30.08.10,,,
1,60,13 МЕ,"ООО ""Букур"", г. Саранск, ул. Невского, 101 а",1326001509,"м-н ""Продукты"", г. Саранск, ул. Невского, 101а",2,30/03/11,33-16-33,,,Докунупа Александра Валентиновна,
,,001504,,1021300980084,"м-н ""Продукты"" г. Саранск, ул. Севастопольская, 46а",,30/03/13,35-70-33,,,,
1,63,13 МЕ,"ООО ""Андро"", г.Саранск, ул. С.Разина, 17а ",1326138239,"м-н г. Саранск, ул. Разина, 17а",1,30/03/12,48-24-36,,,Чикнайкин Юрий Андреевич,
,,001990,,1021300983703,,,30/03/13,24-89-65,,,Юдина Ирина Михайловна,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"" г. Саранск, б-р Эрзи, 12",25,15/05/12,570222,пр.29.08.07,,,Собс
,,000004,"185, филиал г. Саранск, ул. Невского, 101б",1022301598549,"м-н ""Магнит"" г. Саранск, п. Луховка, ул. Октябрьская, 28",,15/03/16,89625960666,в.6.09.07,,Галочкин Владимир Валерьевич,"ООО ""Стек"""
,,,Всего: 57,,"м-н ""Магнит"" г. Саранск, ул. Ульянова, 18а",,,331018,,,Алдоркин Артур Тагирович,Адм г.о.Саранс
,,,35-85-10,,"м-н ""Магнит"" г. Саранск, пр. 50 лет Октября, 13а",,,324037,,,,ИП Фирстов
,,,33-03-01,,"м-н ""Магнит"" г. Саранск, ул. Косарева, 19б",,,251057,,,Калянина Дина 35-85-10,ИП Лаврентьева
,,,"33-19-34 отд кад, бух",,"м-н ""Магнит"" г. Саранск, ул. Васенко, 14",,,472983,,,89179932011,"ЗАО ""Объд фонд имущ РМ"""
