"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Боханский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
53,Тихоновское потребительское общество ИНН  8503001140,МИНФНС России №7 по Иркутской области и УОБАО,Д518764 № 9 от 20.04.2011 до 07.03.12,1. магазин № 1 - с. Тихоновка; 2. магазин ТПС - с. Укыр; 3. магазин № 2 - с. Дундай; 4. магазин № 3 - с. Тихоновка; 5. магазин № 4 - с. Тихоновка; 6. магазин «Автовокзал» - с. Тихоновка; 7. магазин ТПС - с. Вершина; 8. магазин ТПС - д. Тачигир; 9. магазин ТПС - д. Усть-Укыр; 10. магазин ТПС - д. Парамоновка; 11. кафе «Встреча» - с. Укыр.,,,07.03.2012г.,,
54,ООО «Боханская СПМК» ИНН 8503003796,МИНФНС России №7 по Иркутской области и УОБАО,Д518763 № 7 от 31.03.11 до 31.03.12,"1. магазин «Боханская СПМК» - п. Бохан, ул. Карла Маркса,4.",,,31.03.2012г.,,
55,ООО «Автотехсервис» ИНН 8503004479,МИНФНС России №7 по Иркутской области и УОБАО,38МЕ000807 014-РАП 04.04.2007 по 04.04.2012,"1. магазин «ТПС» - п. Бохан, ул. Карла Маркса,2.",,,04.04.2012г.,,
56,ООО «Гермес» ИНН 8503006518,МИНФНС России №7 по Иркутской области и УОБАО,38МЕ000812 18-РАП 05.04.2007 по 05.04.2012,"1. магазин «Наш» - с. Укыр, ул. Школьная, 9Б.",,,05.04.2012г.,,Лицензионная палата УОБАО
57,ООО «Арго» ИНН 8503006282,МИНФНС России №7 по Иркутской области и УОБАО,017-РАП 12.04.2007 по 12.04.2012,"1. магазин «Арго» - с. Харатирген, ул. Школьная, 14 «а»;  2. магазин «Артемида» - д. Усть-Тараса.",,,,,Лицензионная палата УОБАО
58,"ООО ""Урдал""",МИНФНС России №7 по Иркутской Области и УОБАО,Д 518721 № 8 от 20.04.2011г.,"Иркутская область, Боханский район, с. Тараса, ул. Ленина, 31А - магазин ""Урдал""",,,20.04.2012г.,,
59,ООО «Лада» ИНН  8503006331,МИНФНС России №7 по Иркутской области и УОБАО,"А195033, рег. № 14 от 21.06.2012г. до 21.06.2013г.","1.  магазин ""Лада"" - с.Новая Ида, ул. Центральная, 3""Б"".",,,,,
60,Боханское потребительское общество ИНН 8503001340,МИНФНС России №7 по Иркутской области и УОБАО,А195034 № 15 от 21.06.12 до 21.06.17 ,"1. магазин - с.Тараса, ул. Ленина,15; 2. кафе ""Наран"" - п.Бохан, ул. Ленина,33; 3. магазин  - с.Булык, ул. Озерная,9;  4. магазин - с. Хохорск, ул. Гагарина,33; 5. магазин - д. Русиновка, ул. Кирова,15; 6. магазин - д.Заглик, ул. Трактовая,16; 7. магазин - д.Ново-Воскресенка, ул. Трактовая,7; 8. магазин - д. Новый Алендарь, ул. Солнечная,8;  9. магазин - д. Шунта, ул. Депутатская,3А; 10. магазин ""Кедр"" - п.Бохан, ул. Ленина,71; 11. магазин - п.Бохан, ул. Карла Маркса,5; 12. магазин - с.Тараса, ул. Ленина,14; 13.  магазин  - с.Новая Ида, ул. Центральная,27; 14. магазин - с.Новая Ида, ул. Ленинградская,31; 15. магазин  - с.Хандагай, ул. Комсомольская,20; 16. магазин - д. Гречехон, ул. Колхозная,11; 17. магазин - п.Бохан, ул. Ленина,71; 18. магазин ""Мясопродукты"" - п.Бохан, ул. Ленина,22.",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
