"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Шелеховскому району",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
48,"ООО «Радуга плюс»
3821010484
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888854 № 73
от 30.12.2011
с 30.12.2011
до 30.12.2012
","Иркутская область, г.Шелехов, квартал 7, дом 7, магазин",,,,,Администрация Шелеховского раона,
49,"ООО «Стёпкин»
3821015997
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888721 № 10
от 13.05.2008
13.05.2008
13.05.2013
","г.Шелехов, район автостанции, 
кафе «Закусочная»
",,,,,Администрация Шелеховского раона,
50,"ООО «Сибирь»
3848000444
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888741 № 34
от 29.12.2008 
29.12.2008
29.12.2013
","г. Шелехов, ул. Ивана Кочубея, дом 55, магазин «Сибирь»",,,,,Администрация Шелеховского раона,
51,"ООО «Солнечное»
3848002113
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888773 № 36
от 28.12.2009
28.12.2009
28.12.2014
","Шелеховский район, с.Баклаши, 
ул. Юбилейная, 8 В, магазин «Солнечный».
",,,,,Администрация Шелеховского раона,
52,"ООО «Спутник»
0320990131
",ТОРМ Межрайонная ИФНС России №8 по Республике Бурятия в Тункинском районе,"Г 888828 № 33
от 17.06.2011
с 17.06.2011
до 17.06.2012
","Иркутская область, г.Шелехов, Култукский тракт, 21 А, супермаркет «Спутник»",,,6/17/2012,,Администрация Шелеховского раона,
54,"ООО ""Слоники"" 3812137692",Инспекция Федеральной налоговой службы по Свердловскому округу г. Иркутска,Г 888863 № 10 от 13.04.2012 с 13.04.2012 до 13.04.17,"Иркутская обл., г. Шелехов, квартал 1, дом 10/1-А, бар Торговый дом ""Слоники""
",,,,,Администрация Шелеховского раона,
55," ООО ""Славянка"" 3848003011",Межрайонная ИФНС России №1 по Иркутской области ,"Г 888861 № 09
от 02.03.2012
02.03.2012 
02.03.2013","с.Баклаши, ул. Школьная, д. 1 В",,,,,Администрация Шелеховского раона,
56,"ООО «ТПК «Капитал»
3821015637
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888725 № 14
от 03.07.2008
с 03.07.2008
до 03.07.2013
","Шелеховский район, с.Введенщина, ул.Целинная, дом 1 А, 
магазин «Подснежник»
",,,,,Администрация Шелеховского раона,
57,"ООО «Тандем» 
3821009898 
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888728 № 18
от  11.08.2008
14.12.2007 
14.12.2012
","г. Шелехов, 1м-он, 
остан. «Художественная школа», 
магазин «Тандем», 
1 микрорайон у дома 26, магазин «Подкова»,  
1 микрорайон, дом 20, магазин «Компас».
",,,,,Администрация Шелеховского раона,
58,"ООО «Торговая фирма Меркурий»
3821001338
",ГНИ по г. Шелехову и Шелеховскому району (код 3821),"Г 888826 № 31
от  17.06.2011
с 23.06.2011 
до 23.06.2012
","Иркутская область,         г. Шелехов, 4 микрорайон, дом 37 Б, специализированный отдел в ТЦ ""Меркурий""",,,6/23/2012,,Администрация Шелеховского раона,
