"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Братский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
34,"ООО «Развитие» ИНН
3805707800
",ИФНС по Центральному округу г. Братска,"
38 МЕ 006186              № 618
14.05.10.
04.09.13.
","г. Вихоревка
ул. Ленина 20-1
отдел в магазине.
д. Леоново
ул. Кооператив. 15
отдел в магазине
д. Кумейка
ул.Советская 8
отдел в магазине
г. Вихоревка
ул. Ленина 42, магазин
ул. Дзержинского 38,  отдел в магазине
п. Тарма
ул. Дружбы 46 б
отдел в магазине
",,,,,МО г. Братск Комитет потреб. Рынка
35,"ООО «Пестерев»
ИНН
3823031909
","МНС России № 11 по Иркутской области 
Серия 38 № 002763126
","А-194590, № 86
07.10.08.
07.10.13.
","п.Харанжино
ул. Гагарина 16
отдел в магазине
«Пестерев»
",,,,,
36,"ООО «Диана»
ИНН
3823031680
","МНС России № 11 по Иркутской области 
Серия 38 № 002678750
","А-194591, № 87
09.10.08.
09.10.13.
","с.Кобляково
ул. Погодаева 4
отдел в магазине «Диана»
",,,,,
37,"ООО «Надежда»
ИНН
3823031722
","МНС России № 11 по Иркутской области 
Серия 38 № 002678794
","А-194592, № 89
07.11.08.
07.11.13.
","с. Покосное
ул. Бурлова 2 а
отд. в маг. «Русь»
ул. Сибирская 23
отд. в маг. «Кедр
",,,,,
38,"ООО Родник»
ИНН
3823032028
","МНС России № 11 по Иркутской области .
Серия 38 № 002763289
","А-194593, № 91
09.12.08.
09.12.13
","п. Прибрежный
ул. Сосновая 12
магазин «У Петровича»
",,,,,
39,"ООО «Байкал»
ИНН
3823031786
","МНС России № 11 по Иркутской области 
Серия 38 № 002678610
","А-194596, № 93
19.12.08.
19.12.13.
","п. Турма
ул.Строительная 13
отдел в магазине
«Байкал»
",,,,,
40,"ООО «Люкс»
ИНН
3823031666
","МНС России № 11 по Иркутской области 
Серия 38 № 002678574
",А 242021        №78                                      09.06.2012                             26.12.2013            взамен ,"г.Вихоревка
ул.Октябрьская, 1А                 отд.в магазине",,,,,
41," ООО «Система Восток»
ИНН
3836002856
","МНС России № 12 по Иркутской области с.Еланцы.
серия 38 № 001453815
","А-194623, № 142
29.12.09.
31.12.13.


","с.Покосное.
ул.Горького,15
отдел в магазине «Солнечный»
с. Покосное
ул. Сибирская 18
отд. в маг «Сибирь
",,,,,
42,"ООО «Багира»
ИНН 3823032162
","МНС России № 11 по Иркутской области 
Серия 38 № 002838436
","А-194622, № 140
23.12.09.
16.01.14.
","с. Калтук
ул. Центральная 11б
бар «Багира»,
ул. Центральная 11б
отд. в маг. «Багира»,
ул. Лесная 27
отд. в маг. «Цезарь»,
д. Куватка
ул. Гагарина
отд. в магазине «Росинка»,
д. Кумейка
ул. Советская 3, отд. в маг. «Елена»,
с. Ключи-Булак
ул. Мира 8, отд. в маг. «У Максима»,
ул. Ленина 1, отд. в маг. «У Максима».
с. Большеокинск
ул. Мира 40
отд. в маг. «Кстати»

",,,,,
43,"ООО «Кедр»
ИНН 3823032074
","МНС России № 11 по Иркутской области 
Серия 38 № 002763343
","А-194604, № 102
19.02.09.
19.02.14.
","с. Илир
ул. Полевая 37 «а»
отдел в магазине
",,,,,
44,"ООО «ЛАВАНДА»
ИНН 3823019637
","МНС России № 11 по Иркутской области 
Серия 38 № 002399921
","А-194605, № 106
07.05.09.
07.05.14.
","г. Вихоревка
ул. Советская 57 а
кафе «Fashion»
",,,,,
45,"ООО «МУШ»
ИНН 3823019612
","МНС России № 11 по Иркутской области 
Серия 38 № 002763778
","
А-194630, № 161
06.08.10.
22.05.14.                                    
","г. Вихоревка
ул. Ленина  42 Г
отд. в маг. Булочная
ул. Октябрьская 4 а
отд в маг. «Север»
ул.30 лет Победы26  
отд. в магазине «Юбилейный»;
ул. Северная 25 А
отдел в магазине «Ковчег»
",,,,,
46,"ООО «Березка»
ИНН
3823032589
","МНС России № 11 по Иркутской области 
Серия 38 № 002763809
","А-194621, № 139
23.12.09.
01.07.14.
","п. Прибрежный
ул. Комарова 1 а
магазин «Березка»
с. Илир
ул. Полевая 10 А
магазин «Березка»
",,,,,
47,"ООО «НОВО ДОБЧУР»
ИНН
3823032194
","МНС России № 11 по Иркутской области 
Серия 38 № 002763399
","А-194612, № 117
25.07.09.
25.07.14.
","п. Добчур
ул. Некрасова 5
отд. в маг. № 1
ул. Гагарина 14
отд. в маг. № 2
",,,,,
48,"ООО «Модуль»
ИНН
3805710016
",ИФНС по Центральному округу г. Братска,"
38 МЕ 006380                              № 807                      08.08.11                           18.08.14
","с. Кобляково
ул. Погодаева 1 А
отдел в магазине
«Шмель»
с. Тангуй
ул. Ленина 55
отд. в магазине.
г. Вихоревка
ул. Ленина 19 пом. 1020, магазин
ул. Ленина 42 пом.1022, магазин
ул.Дзержинского 6 «а», отдел в магаз.
г. Вихоревка
ул. Северная 22 А
торговый павильон
с. Илир
ул. Ленина 15 А
отдел в магазине
г. Вихоревка                         ул. Дзержинского, 133                 помещение 1041                    отдел в магазине  ",,,,,МО г. Братск Комитет потреб. Рынка
49,"ООО «Ангара»
ИНН
3823031391
","МНС России № 11 по Иркутской области
Серия 38 № 002763957
","А-194613, № 122
03.09.09.
03.09.14.
","п. Шумилово
ул. Калинина 14
отдел в магазине «Ангара»
",,,20.04.2012.,,
50,"ООО «Алмаз»
ИНН
3823032758
","МНС России № 11 по Иркутской области
Серия 38 № 002838539
","А-194616, № 127
07.10.09.
07.10.14.
","п. Бурнинская Вихоря
ул. Первомайская 21/1 А, отдел в маг. «Алмаз»
",,,,,
51,"ООО «Трансалко»
ИНН 
3823032701
","МНС России № 11 по Иркутской области
Серия 38 № 002763961
","А-194640, № 10              15.03.11.                19.10.14.         
","г. Вихоревка
ул. Комсомольская 16, отдел в магазине «Виктория»
",,,,,
52,"ООО «Рассвет»
ИНН
3823032035
","МНС России № 11 по Иркутской области
Серия 38 № 002763154
",А 194653 № 50                        11.08.11                                 17.11.14                                                                     ,"г.Вихоревка
ул.Дзержинского, 87а
отдел мини-маркет «24 часа»;                                          г.Вихоревка,
ул.Кошевого 19 в
отдел мини-маркет «Эпсис»;                                            г.Вихоревка
ул.Советская 183 а
отдел мини-маркет
«Продукты»
",,,,,
53,"ООО «Ива»
ИНН
3823019972
","МНС России № 11 по Иркутской области
Серия 38 № 002422614
","А-194619, № 136
09.12.09.
08.12.14
","г. Вихоревка
ул. Лазо 12
бар
",,,,,
54,"ООО ""Атлант""     ИНН     3804009200",ИФНС по Центральному округу г. Братска,"
 38 МЕ 006308              № 737               30.05.11.                                    31.05.12.
","СНТ «Зоозерное»
23 квартал, урочище Чен Чен
отдел в магазине «Сигма»;
п. Тарма
ул. Нагорная, 2
отдел в магазине «Смешанные товары». 
г.Вихоревка
ул. Пионерская 34 а
отдел в магазине                  д. Кумейка                                    ул. Советская, 8                    отдел в магазине.                   с. Александровка                  ул. Целинная, 1 А                 отдел в магазине.                     с. Илир                                         ул. Дзержинского, 3                 отдел в магазине,                   с. Покосное                          ул. Целинная, 7                       отдел в магазине,                     д. Леонова                                       ул. Кооперативная, 27                отдел в магазине,                            с. Покосное  ул. Парковая, 24отдел в магазине ""Сергий""
",,,6/1/2012,,МО г. Братск Комитет потреб. Рынка
