Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/12/406,27/07/2017,ООО,"""БАХУС""","236034, Калининградская обл., г. Калининград, пер. Ржевский-2, д. 20",3907204900,,г. Зеленоградск,,ул. Окружная,д. 2,,,помещение № 6,литер  VI из лит.А,,,,,,,
39/АЛК/10/32,04/02/2013,ООО,"""БаЯР""","236000, г. Калининград, ул. Горького, д. 193",3904067029,,г. Калининград,,ул. Горького,д. 193,,,,"литер II из лит.А,А1",,,,,,,
39/АЛК/12/317,18/06/2013,ООО,"""БГС+""","236000, Калининградская обл., г. Калининград, ул. Андреевская, д. 27",3907058706,,г. Калининград,,ул. Театральная,д. 36-40,,,,литер IX,,,,,,,
39/АЛК/12/517,31/08/2015,ООО,"""Белый кит""","236006, Калининградская обл., г. Калининград, пр-кт Московский, д. 121-а, офис №1",3906207289,,г. Калининград,,пр-кт Московский,д. 121-а,кафе,,,"литер VII из лит.А,А1А2А3,а1",,,,,,,
39/АЛК/10/117,08/04/2015,ООО,"""БЕРЁЗКА-КОМПЛЕКС""","238030, Калининградская обл., г. Гусев, ул. Правобережная, д. 12",3902005940,,г. Гусев,,ул. Правобережная,д. 12,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/120,08/04/2013,ООО,"""Бинго""","236040, г. Калининград, пл. Победы, д. 4",3904086487,,г. Калининград,,ул. Батальная,д. 17-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/407,17/06/2013,ООО,"""Бисквит""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 59",3906155457,,г. Калининград,,пр-кт Ленинский,д. 47-61,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/373,10/06/2016,ООО,"""БЛЕСК""","238311, Калининградская обл., Гурьевский р-н, п. Большое Исаково, ул. Октябрьская, д. 7-а",3917026453,Гурьевский р-н,,п. Большое Исаково,ул. Октябрьская,д. 7-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/463,21/08/2015,ООО,"""Блюз""","236030, Калининградская обл., г. Калининград, пр-кт Московский, д. 202",3906110350,,г. Калининград,,пр-кт Московский,,ресторан,,у пос. Заозерье,,,,,,,,
39/АЛК/12/450,10/08/2017,ООО,"""Болдер""","238311, Калининградская обл., Гурьевский р-н, п. Большое Исаково, ул. Кооперативная, д. 22, кв. 4",3917511523,,г. Озерск,,пл. Победы,д. 13-а,магазин,,,,,,,,,,
39/АЛК/08/254,04/08/2013,ООО,"""БОН-БОН""","236000, Калининградская обл., г. Калининград, ул. Косм.Леонова, д. 66-а",3905602617,,г. Калининград,,ул. Театральная,д. 30,,,2-й этаж,без ограничения содержания этилового спирта в готовой продукции.,,,,,,,
39/АЛК/09/831,30/12/2012,ООО,"""БОНУС-ПЛЮС""","236034, г. Калининград, ул. Емельянова, д. 144",3907203590,,г. Калининград,,ул. Емельянова,д. 144,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/763,08/12/2012,ООО,"""БОСТОН""","238313, Калининградская обл., Гурьевский р-н, п. Прибрежное, пер. Южный, д. 4",3917507982,Гурьевский р-н,,п. Малое Исаково,ул. Пушкинская,д. 34,,,,,,,,,,,
39/АЛК/12/492,24/08/2015,ЗАО,"""Брама""","236000, Калининградская обл., г. Калининград, ул. Кирова, д. 7",3904032837,,г. Калининград,,ул. Интернациональная,д. 30,закусочная,,,литер В,,,,,,,
39/АЛК/07/291,01/10/2012,ООО,"""Бриг""","236039, г. Калининград, ул. Киевская, д. 4-а",3907002502,,г. Калининград,,ул. Киевская,д. 4-а,,,,,,,,,,,
39/АЛК/09/402,30/06/2014,ООО,"""БРИЖИТ""","236000, г. Калининград, ул. А.Суворова, д. 54, У",3906040978,,г. Калининград,,ул. А.Суворова,д. 54,Литер У,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/360,17/09/2015,ООО,"""Бриз плюс торг""","238630, Калининградская обл., г. Полесск, ул. Калининградская, д. 8",3922006212,Полесский р-н,,п. Славянское,пер. Молодежный,д. 7,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/10/466,23/11/2015,ООО,"""Бриз""","236000, г. Калининград, ул. Проф.Севастьянова, д. 3/5",3906137874,,г. Калининград,,ул. А.Невского,д. 205-а,,,,,,,,,,,
39/АЛК/08/53,27/02/2013,ООО,"""Бриз-Дюна""","238530, Калининградская обл., г. Зеленоградск, ул. Тургенева, д. 12, кв. 8",3918009813,,г. Зеленоградск,,ул. Московская,д. 34,,,закусочная,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
