Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/11/674,26/10/2015,ООО,"""БРИКАС ПИЦЦА""","236000, Калининградская обл., г. Калининград, пр-кт Советский, д. 39-г, кв. 11",3904606270,,г. Калининград,,ул. Театральная,д. 23-27,,,,кафе,,,,,,,
39/АЛК/08/337,15/10/2013,ООО,"""Брикас ресторан'с""","236000, Калининградская обл., г. Калининград, пр-кт Советский, д. 39-г, кв. 11",3904600536,,г. Калининград,,ул. Театральная,д. 30,,,"2-й этаж, помещение № 27",без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/780,16/12/2014,ООО,"""Бристоль""","236039, Калининградская обл., г. Калининград, ул. Багратиона, д. 49",3907033042,,г. Калининград,,ул. Интернациональная,д. 57-57а,,,,литера III из литера А1,,,,,,,
39/АЛК/11/683,28/10/2013,ООО,"""Британника""","236000, Калининградская обл., г. Калининград, ул. Бассейная, д. 6, кв. 4",3906235423,,г. Калининград,,ул. К.Маркса,д. 18,кафе,,,,,,,,,,
39/АЛК/12/349,29/06/2013,ООО,"""Буше""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 63-67",3906209600,,г. Калининград,,пр-кт Мира,д. 23-27,кафе,,"ул. Серж.Колоскова № 1-а, ул. Свободная № 2",литер III,,,,,,,
39/АЛК/12/335,25/06/2013,ООО,"""БЪЕДОВСКАЯ""","236012, Калининградская обл., г. Калининград, ул. Новинская, д. 10",3907053507,,г. Калининград,,ул. Новинская,д. 10,,,,"литер А1,а1,а2",,,,,,,
39/АЛК/12/12,13/01/2013,ООО,"""Бэкон""","236000, Калининградская обл., г. Калининград, пр-кт Ленинский, д. 18",3906158338,,г. Калининград,,ул. Генделя,д. 5,,,"ул. Ушакова, д. 6",ресторан,,,,,,,
39/АЛК/11/403,17/06/2014,ООО,"""БЭЛА""","238100, Калининградская обл., г. Черняховск, ул. Л.Толстого, д. 5, кв. 16",3914001838,,г. Черняховск,,ул. Парковая,д. 2,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/341,25/06/2015,ООО,"""ВАК""","236040, Калининградская обл., г. Калининград, ул. Минская, д. 23, кв. 5",3906013452,Гурьевский р-н,,п. Орловка,ул. Заречная,д. 8,,,,ресторан,,,,,,,
39/АЛК/09/341,18/06/2014,ООО,"""Валенсия плюс""","236011, г. Калининград, ул. Батальная, д. 17-а, помещение, 13",3908602870,,г. Калининград,,пр-кт Ленинский,д. 81,кафе,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/86,02/03/2014,ООО,"""Валенсия""","236011, Калининградская обл., г. Калининград, ул. Батальная, д. 17-а",3904086783,,г. Калининград,,пр-кт Ленинский,д. 81,кафе,,первый этаж,,,,,,,,
39/АЛК/12/300,08/06/2014,ООО,"""Валентина""","236011, Калининградская обл., г. Калининград, ул. Аллея Смелых, д. 10-22",3907050016,,г. Калининград,,ул. Аллея Смелых,д. 10-22,,,,"литер: I,а",,,,,,,
39/АЛК/07/342,20/11/2012,ООО,"""Валентина""","238743, Калининградская обл., Краснознаменский р-н, п. Железнодорожное, ул. Железнодорожная, д. 29",3919003959,Краснознаменский р-н,,п. Добровольск,пл. Героев,д. 1,,,,,,,,,,,
39/АЛК/12/219,27/04/2014,ООО,"""ВАЛЕНТИНА""","238340, Калининградская обл., г. Светлый, ул. Калининградская, д. 13, кв. 56",3913500489,,г. Светлый,,ул. Советская,д. 33,,,,помещение IV из А,,,,,,,
39/АЛК/12/305,08/06/2013,ООО,"""Вальбург Хилл""","236901, Калининградская обл., г. Калининград, пер. Рабочий, д. 7",3908608455,,г. Калининград,пгт Прибрежный,пер. Рабочий,д. 7,ресторан,,,,,,,,,,
39/АЛК/10/330,03/09/2013,ООО,"""ВАРТ""","236040, Калининградская обл., г. Калининград, ул. Ген.Галицкого, д. 17-а",3906220787,,г. Калининград,,ул. Ген.Галицкого,д. 17-а,,,,,,,,,,,
39/АЛК/11/368,03/06/2016,ООО,"""ВЕГА""","238311, Калининградская обл., Гурьевский р-н, п. Большое Исаково, ул. Кооперативная, д. 22, кв. 4",3917510431,,г. Светлогорск,,пр. Калининградский,д. 30,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/94,04/03/2016,ООО,"""Вектор""","238012, Калининградская обл., Нестеровский р-н, п. Ясная Поляна, ул. Новая, д. 8, кв. 1",3920008038,Нестеровский р-н,,п. Ясная Поляна,ул. Центральная,д. 33-а,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/145,25/03/2016,ООО,"""Вектор""","236901, г. Калининград, пгт Прибрежный, ул. Береговая, д. 30",3923003750,,г. Калининград,пгт Прибрежный,ул. Береговая,д. 30,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/08/127,23/04/2013,ООО,"""Венеция""","236000, Калининградская обл., г. Калининград, ул. Горького, д. 162",3906184391,,г. Калининград,,ул. Горького,д. 162,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/271,25/05/2013,ООО,"""Вентура плюс""","236000, Калининградская обл., г. Калининград, ул. Театральная, д. 30",3906185780,,г. Калининград,,ул. Красная,д. 142,закусочная,,,,,,,,,,
39/АЛК/08/150,23/05/2013,ООО,"""Верный""","238030, Калининградская обл., г. Гусев, ул. Железнодорожная, д. 14",3902068919,,г. Гусев,,ул. Железнодорожная,д. 47,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/09/839,30/12/2012,ООО,"""Верона""","238310, Калининградская обл., Гурьевский р-н, п. Васильково, ул. 40-Летия Победы, д. 8, кв. 51",3917504798,,г. Калининград,,ул. Горького,д. 207,,,,литер II из лит.А,,,,,,,
39/АЛК/12/460,21/08/2015,ООО,"""Вертикаль""","236040, Калининградская обл., г. Калининград, ул. Проф.Баранова, д. 30",3905039970,,г. Калининград,,ул. Проф.Баранова,д. 30,кафе,,"ул. Горького, д. 2",,,,,,,,
39/АЛК/07/423,27/12/2012,ЗАО,"""Весновское""","238742, Калининградская обл., Краснознаменский р-н, п. Весново",3919000394,Краснознаменский р-н,,п. Весново,ул. Южная,д. 1,,,,,,,,,,,
39/АЛК/12/112,16/03/2014,ООО,"""Веста""","236039, Калининградская обл., г. Калининград, ул. Ореховая, д. 2",3907055649,,г. Калининград,,ул. Ореховая,д. 2,закусочная,,,,,,,,,,
39/АЛК/12/308,08/06/2017,ООО,"""Вестер""","236011, Калининградская обл., г. Калининград, ул. Судостроительная, д. 75",3907054589,,г. Калининград,,пр-кт Советский,д. 159,,,,,,,,,,,
39/АЛК/10/506,17/12/2015,ООО,"""ВестойлБалт""","236006, г. Калининград, ул. Горная, д. 2",3907029092,,г. Калининград,,ул. Горная,д. 2,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/462,21/08/2013,ООО,"""ВИВАТ""","238530, Калининградская обл., г. Зеленоградск, ул. Солнечная, д. 3, кв. 54",3918500891,,г. Зеленоградск,,ул. Окружная,д. 2,,,,литер III,,,,,,,
39/АЛК/07/381,14/12/2012,ООО,"""ВиВаче""","236030, Калининградская обл., г. Калининград, пр-кт Московский, д. 34, кв. 3",3906145498,,г. Калининград,,ул. Луговая,д. 1,корп. 2,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/11/802,23/12/2012,ООО,"""ВИЗАВИ""","236023, Калининградская обл., г. Калининград, ул. Чекистов, д. 20",3904056066,,г. Калининград,,ул. Чекистов,д. 20,закусочная,,,,,,,,,,
39/АЛК/11/657,19/10/2012,ООО,"""Вик Тим""","238751, Калининградская обл., г. Советск, ул. Чапаева, д. 12",3911010471,,г. Советск,,ул. Красина,д. 25,,,,,,,,,,,
39/АЛК/12/274,25/05/2013,ООО,"""Вика""","238550, Калининградская обл., г. Светлогорск, ул. Октябрьская, д. 11-а",3912500479,,г. Светлогорск,,ул. Октябрьская,д. 11-а,кафе,,помещение 1а,литер 1А из лит.А,,,,,,,
39/АЛК/10/403,15/10/2015,ООО,"""Виктор и другие""","238310, Калининградская обл., Гурьевский р-н, п. Васильково, ул. 40-Летия Победы, д. 4-а",3917010686,Гурьевский р-н,,п. Васильково,ул. 40-Летия Победы,д. 4-б,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
